Timestamp,Hypothesis or gap?,Paper ID,Text from paper,Gap group
6/21/2018 15:37,Gap,35,"To assess the role of pathogen biology in emergence, investigators need to know how many pathogens people are exposed to and how many successfully cross the species barrier",Viral Adaptation-associated
6/21/2018 15:51,Gap,35,"Host factors often receive less research focus than does pathogen virulence, but improved knowledge of host responses is essential to understand the species barrier and why some zoonotic pathogens are benign in their natural hosts but lethal when introduced to other species",Reservoir Hosts-associated
6/21/2018 16:07,Gap,35,"Research about host–receptor interactions: receptor binding is an essential first step in cell infection and has been associated with changes in host and tissue tropism. Prediction of receptor binding necessitates understanding of the interactions for commonly expressed receptors (eg, sialic acids or heparan sulfate proteoglycans) or ease of adaptation of the virus to a new host receptor. However, the cell receptor is still unknown for more than 50% of human viruses.",Viral Adaptation-associated
6/21/2018 16:10,Gap,35,"Estimates of a virus’s ability to evolve: the factors that allow a pathogen to successfully jump species are poorly known, but might include high mutability and an absence of proofreading to correct mutations, which are thought to explain the high proportion of negative-stranded RNA viruses in emerging pathogens. So-called evolvability might help to explain why some pathogens have a high propensity for host jumps.",Viral Adaptation-associated
6/22/2018 11:52,Gap,36,"Unfortunately, although correlations exist between land use and disease incidence or measures of risk, rigorous and mechanistic analyses that identify causal factors that are needed for intelligent urban planning are absent in most cases.",Climate & Vectors-associated
6/22/2018 12:11,Gap,36,"Governments and public health agencies want predictions of the disease burden and risk in the future. To obtain such predictions, a robust understanding of how all aspects of climate affect rates of the processes involved in transmission needs to be developed, and the breadth of analyses should be expanded to include all potential factors affecting incidence of infection and prevalence of disease, both biological and non-biological.",Land Conversion-associated
6/25/2018 16:00,Gap,39,"there is a critical need to begin long-term ecologic studies aimed at understanding the interaction between climatic factors and (1) geographic distributions of vector ticks, (2) seasonal host-seeking activity, and (3) relative abundance of reservoir-competent and -incompetent hosts and prevalence of infection in ticks",Climate & Vectors-associated
6/25/2018 16:00,Gap,39,Longitudinal surveillance within known foci of major vectorborne diseases could help determine whether climate change or increased climatic variability is affecting transmission rates and the incidence of human cases in these areas.,Climate & Vectors-associated
6/25/2018 16:31,Gap,40,Why are only some viruses able to successfully spread in a new host?,Viral Adaptation-associated
6/25/2018 16:31,Gap,40,"What barriers, both ecological and genetic, prevent active host adaptation from taking place?",Viral Adaptation-associated
6/26/2018 15:45,Gap,41,A fundamental challenge for host-switching viruses that require adaptation to their new hosts is that mutations that optimize the ability of a virus to infect a new host will likely reduce its fitness in the donor host. The nature of these fitness trade-offs and how they affect cross-species transmission is an important unresolved area of study,Viral Adaptation-associated
6/26/2018 15:48,Gap,41,"little is known about how shedding and infection are controlled in different hosts. For example, it is not clear why influenza A viruses are enteric viruses in their natural avian hosts but mainly infect the respiratory tract in mammals, but this likely influences the host adaptation of the viruses to mammals and the ability to spread efficiently.",Reservoir Hosts-associated
6/28/2018 15:57,Gap,43,"What are the relative contributions of climate, environmental, and socioeconomic changes to alterations in vector- borne disease risk? We have much experience of assessing the direct impacts of climate and weather on vectors and vector-borne pathogens, but there has been little effort to integrate across the biological, veterinary, medical, agricultural, and social sciences to better predict how all of these factors may together be impacted by climate change.",Climate & Vectors-associated
6/28/2018 16:27,Gap,44,"If the rate of evolutionary change is driven by the rate at which neutral variants are generated, then the most important factors determining rates of evolutionary change are the replication error rate and the generation time. The variation in error rates among viruses is a subject of considerable research activity and there is a growing body of data on how generation times vary within and among viruses. However, despite a wealth of population genetic theory about the interplay between these factors and natural selection, we are still some way from producing an all-encompassing picture of what determines rates of evolutionary change in viruses.",Viral Adaptation-associated
6/28/2018 17:00,Gap,44,"A more revealing question is whether there are any phylogenetic trends with respect to the mammalian viruses that also affect humans. Specifically, are those viruses from our closest relatives, the simian primates, more able to infect us than those from other mammalian orders? At present there is insufficient data to fully test this hypothesis, although it is clearly a research priority for the future.",Viral Adaptation-associated
6/29/2018 11:43,Gap,46,"the identification of critical mutations that enable viruses to spread efficiently, interact with different receptors, and cause disease in diverse hosts through, for instance, enhanced viral replication or circumvention of the innate and adaptive immune responses, needs to be further expanded",Viral Adaptation-associated
9/10/2018 22:12,Gap,55,"Despite a large and growing literature on emerging zoonoses, there is still a dearth of research on the process of disease emergence. However, the association of disease emergence with anthropogenic environmental changes and demographic or human behavioral changes may provide a fruitful way to examine this phenomenon. For example, research that measures the rate of these anthropogenic or demographic changes and how they affect pathogen dynamics in wildlife would provide a way to assess the risk of spillover to people. Understanding relative or actual risks of spillover could provide a tool to focus resources on high-risk regions (e.g., areas of recent deforestation) or high-risk behaviors (e.g., bushmeat hunting or agricultural changes).",Land Conversion-associated
7/7/2018 20:03,Gap,57,Effects of climate change on the species composition of plant and animal communities are poorly understood. ,Climate & Vectors-associated
7/7/2018 23:25,Gap,57,"The relationship between stress and pathogen transmission, replication, persistence, and shedding in hosts and vectors is poorly studied. A clearer understanding of this relationship would lead to more accurate predictions of the effects of climate change on VBZD risk to humans.",Climate & Vectors-associated
7/5/2018 14:41,Gap,59,"Much current research on the determinants of influenza specificity is experimental and its extension to complex natural transmission of other virus families remains to be tested. Understanding how such adaptability works could focus our attention on those virus families or species with the greatest chance of infecting humans but how this knowledge could be used more specifically to identify potential threats to humans among animal viruses, as has recently been proposed, is unclear.",Viral Adaptation-associated
7/8/2018 11:42,Gap,60,"The disease emergence model above provides a construct for how pathogens emerge from animals and illustrates the continuum of animal pathogen infectivity in the human population. However, relatively little is known about the factors that mediate transition from one stage to the next as a pathogen of animal origin scales the stages of this paradigm (Figure 1), ever increasing its ability to reside in the human population and be transmitted throughout it. ",Holistic approaches
7/9/2018 0:10,Gap,60,"Presumably, the likelihood of any one zoonotic agent becoming a human pathogen is dependent upon a number of factors. Multiple introductions into the human population may be necessary before a zoonotic agent establishes itself as a human pathogen and the determinants of cross-species tropism are still ill defined, as are the factors that influence whether infection causes disease. However, the frequency with which the human population is exposed to a potential zoonotic agent is likely to be an important determinant in disease emergence.",Viral Adaptation-associated
7/9/2018 0:15,Gap,60,"The species of animal that harbors the pathogen, the nature of human interaction with that animal, and the frequency of these interactions all likely modulate the risk of zoonotic transmission. Understanding this complex process will be important to combating future disease emergence. Therefore, further investigation into the interactions that humans have with animals (as a potential reservoir of disease), and conditions that influence this interaction, is warranted.",Viral Adaptation-associated
7/9/2018 0:38,Gap,60,"However, the precise causal relationship between these human-animal interface factors and how they influence the dynamics of zoonotic disease emergence is not fully elucidated, nor is the interconnectedness of the various factors (eg, socioeconomic factors and deforestation) well understood. Defining cause and effect relationships may provide valuable clues as to how would-be emergent diseases might be prevented.",Holistic approaches
7/9/2018 0:57,Gap,61,"As a consequence, it has been difficult to separate the effects of higher density from those of reduced diversity.",Holistic approaches
7/9/2018 1:13,Gap,61,"The loss of particular species in a community clearly has the potential to increase disease transmission. But does reducing diversity itself increase transmission, or is increased transmission the consequence of the removal of particular species? The answer depends on how species composition changes as richness changes. For example, if those host species most responsible for amplifying the pathogen tend to persist or even thrive as biodiversity is lost, then disease risk will consistently increase as biodiversity declines. On the other hand, if amplifying species tend to disappear as biodiversity declines, then biodiversity loss will tend to reduce disease risk. These hypothetical possibilities indicate the importance of understanding both the non-random sequences by which species are lost from communities, and whether the species that tend to occur only in more species-rich communities tend to amplify or buffer pathogen transmission.",Biodiversity & Community-associated
7/9/2018 1:17,Gap,61,"Whether an organism’s host competence and its resilience to factors that reduce biodiversity are causally related is an unresolved but critical issue. Traits that make a host resilient to biodiversity loss may also make them susceptible to pathogen infection and transmission. Such a relationship would explain the frequency with which the link between diversity loss and disease transmission has been observed in nature (Table 1). ... Understanding the interrelationships among pathogen transmission, biodiversity loss and interspecific differences in immune function is an important area for future research. Such studies would illuminate how frequently resilient species are also those that increase pathogen transmission, and might provide general rules about the impact of biodiversity loss on disease transmission.",Biodiversity & Community-associated
7/9/2018 1:31,Gap,61,"The effects of microbial diversity within and upon host bodies show intriguing similarities to the effects of macroscopic species diversity on disease transmission in aquatic and terrestrial ecosystems. Further exploration of these similarities, and particularly the specific mechanisms operating within hosts, is a critical research frontier because changes in microbial diversity might accompany biodiversity loss in their hosts.",Biodiversity & Community-associated
7/9/2018 1:34,Gap,61,"Thus, reduced microbial diversity may be an important underlying cause of the emergence of drug-resistant pathogens; this too requires further investigation.",Biodiversity & Community-associated
7/9/2018 1:38,Gap,61,"A major challenge will be to untangle the complex ways in which other global anthropogenic trends—such as climate change, biotic exchange, nutrient pollution, armed conflict and economic collapse—interact with biodiversity loss to influence disease dynamics, and which of these trends have the greatest impacts on human well-being. ",Biodiversity & Community-associated
7/29/2018 7:38,Gap,63,"Our understanding of the influence of reservoir host and vector diversity on pathogen epidemiology and disease dynamics is still rudimentary. The possibility of strong effects due to a local multiplicity of hosts and vectors is however high for a large number of emerging pathogens... Indeed, animal viruses with multiple hosts are more likely to be designated as emerging threats than the ones with single hosts, a finding that emphasizes the importance of better examining the role played by host and vector diversity.",Biodiversity & Community-associated
8/27/2018 8:23,Gap,64,What evolutionary drivers underlie species jumps by wild-type viruses?,Viral Adaptation-associated
8/27/2018 9:35,Gap,68,"Potentially important, but little studied mechanisms of infectious disease-land use change relationships include changes in host and vector behavior, nutrition, immunity, and altered co-infections or within host-communities (e.g., microbiomes) that may respond to anthropogenic change. Anthropogenic change can alter food resources for hosts and vectors, and there are complex feedbacks between host nutrition and immunity. Nutritional depletion may impair immune function and increase susceptibility to infectious diseases, and these pathogens can decrease host condition, resulting in positive feedbacks, or “vicious circles” between nutrition and disease transmission. Although supplemental wildlife feeding can boost condition for some reservoir hosts and vectors in areas of anthropogenic development, decreasing their susceptibility to infectious agents), these resources may cause clustering of hosts, and lead to increases in disease transmission due to greater between host contact or contact with infectious material ",Land Conversion-associated
8/27/2018 9:37,Gap,68,"Additionally, few studies evaluate how co-infection or pathogen communities infecting hosts or vectors change in response to anthropogenic land use. Because different parasites such as intestinal helminths and bacteria may interact with the immune system to increase host susceptibility to or transmission of microparasites, environmental changes that alter host exposure to one of these agents, such as enteric nematodes, may also impact transmission of other co-infecting pathogens. Differences in diet and spatial interactions induced by land use change may impact microbiomes within host or vector populations. Vector microbial communities (e.g., tick microbiomes) may also vary in response to environmental change and ultimately influence pathogen transmission, but this is an open area of investigation.",Land Conversion-associated
8/27/2018 9:39,Gap,68,"Furthermore, different successional states post-deforestation also bring with them corresponding changes in dominant reservoir host and vector communities that can potentially impact transmission of zoonotic diseases. Long-term disease monitoring strategies pre-, during, and for extended periods post-disturbance can provide a more complete understanding of how disease dynamics can change relative to ecosystem state. Supporting long-term studies is ... necessary for understanding how infectious disease transmission responds over time to anthropogenic disturbance. ",Land Conversion-associated
8/27/2018 11:48,Gap,70,"Alternatively, the role of viral genetic functions and structural attributes in shaping the nature and consequences of host-virus interactions may be distinct in natural versus non-natural hosts. Interestingly, most studies thus far have used non-natural hosts or their cells to explore the interaction of viral products with host resistance mechanisms and impact on viral virulence. In fact, much of our current understanding of viral immune evasion and restriction factor inhibition strategies has come from studies of emerging viruses. However, although these strategies can be fit in a logical framework in the context of a pathogenic infection, it is not clear how such regulatory and structural mechanisms function or evolved within a nonpathogenic reservoir host environment, whether they promote virus persistence or limit pathologic consequences of infection, and how they impact cross-species jumps.",Viral Adaptation-associated
8/27/2018 11:51,Gap,70,"Determining the kinetics of viral replication, the extent of immune control, and parameters that might impact these, such as genetic variation, hibernation, pregnancy, or stress, may provide key insights into why some viruses are more likely to make cross-species jumps and why some of these cause severe disease in humans. Indeed, for many reservoir hosts, immune responses have not been characterized beyond demonstrating seroconversion. Further, population-level persistence of emerging pathogens in their reservoirs has primarily been investigated from an ecological perspective, and the contribution of the host response to determining population-level infection dynamics within reservoirs is unclear. Experimental studies will provide critical data to improve field ecological studies by identifying which age classes, gender, or status of individual to focus on in studying transmission events. Experimental infections will also form the basis for improving dynamic modeling of infectious diseases, which is used to assess infection risk and develop better controls to prevent spillovers. A substantial list of important biological questions remains to be answered through focused experimental studies of the interfaces between various reservoir hosts and the specific viruses they harbor",Viral Adaptation-associated
8/27/2018 11:58,Gap,70,"Given the threats to human health and economic development posed by emerging viral diseases, better understanding the nature and diversity of mechanisms responsible for the ability of reservoir hosts to tolerate viral infections and facilitate transmission to other host species is critical. Studies to date have focused primarily on viral detection and diversity, rather than on illuminating the nature of the host-virus equilibrium extant in their wild animal reservoirs. Achieving the goal of a holistic approach to understanding viral emergence will require the integration of immunological studies with investigations of animal physiology and metabolism, as well as the synthesis of such studies with epidemiological, ecological, and evolutionary insights of viral emergence. ",Holistic approaches
8/27/2018 12:11,Gap,72,"An underexplored possibility is that there are intrinsic differences between species comprising north temperate communities. These communities display different patterns of functional diversity compared to those in the tropics, with each temperate species contributing disproportionately to ecosystem processes compared to tropical species. Studies that move beyond occurrence-based metrics (e.g., richness) to consider the functional trait diversity of host and pathogen species may reveal another dimension to what is driving geographic patterns of zoonotic diversity. Whether temperate hosts carry proportionately more zoonoses, or whether zoonotic pathogens in temperate zones exhibit proportionately greater host breadth compared to tropical systems, is an open question. Comparing the topologies of host–pathogen networks in temperate versus tropical regions is one approach to answering this question.",Reservoir Hosts-associated
9/17/2018 20:01,Gap,74,"The ability to undergo recombination, which is seen in a wide range of RNA viruses, may also be a factor. Recombination plays a key role in the emergence of highly pathogenic strains of influenza A, and may contribute to the burgeoning diversity and emergence of Dengue viruses. If recombination is an important mechanism in emergence, then understanding how the genetic organisation of viral genomes influences recombination rates is an important question.",Viral Adaptation-associated
9/17/2018 20:04,Gap,74,"Evolutionary ecologists studying adaptive radiations have long suggested that they arise from generalist ancestors, and develop through adaptive diversification into ever more specialised niches. Many taxonomic groups of pathogen fit comfortably into the paradigm of adaptive radiation, but it is not clear whether the phenomenon of emergence corresponds to a process of increasing ecological generalism or simply host-switching followed by subsequent further specialism (for example, HIV). Host-switching events are indicated throughout the evolutionary record by the frequent topological discordancies in paired host-pathogen phylogenies, and it is reasonable to suppose that these switches corresponded to periods of pathogen emergence. But following a host switch, the outcome of opposing selective forces for further adaptation to the new host, or maintaining a broader spectrum of host species use remains unclear.",Viral Adaptation-associated
9/17/2018 20:05,Gap,74,"The determinants of a broad host range are poorly understood. It has been suggested that the use of host-cell receptors that are highly conserved across host species may facilitate infection in a wide range of hosts. While appropriate receptors are clearly a prerequisite for entry in to the cell lines of any potentially permissive host, it is becoming increasingly clear that downstream intracellular events can also restrict host range, and much remains to be learned about these processes.",Viral Adaptation-associated
8/29/2018 8:57,Gap,75,"As such, human activities that increase exposure to populations of urban-dwelling wildlife species will undoubtedly increase the risk of pathogens spilling over to humans or livestock, but little is known of the epidemiological processes by which this occurs at such interfaces.",Land Conversion-associated
8/29/2018 9:37,Gap,75,"Benmayor et al. showed that a higher density of susceptible hosts leads to an increased mutation rate and thus increased likelihood of viral host jumps occurring, while higher levels of interspecies transmission can lead to the adoption of more generalist pathogen virulence strategies. Although conducted in unnatural microcosms, these studies demonstrate that the characteristics of the biotic niche of the pathogen, such as competition from sympatric microorganisms and host-reservoir dynamics, can also drive adaptive evolutionary processes. Finally, changes to population size and immune status of the reservoir can drive an increase in pathogen prevalence, thus amplifying the likelihood of spillover occurring. This leaves a key challenge to classify the levels of dynamic changes in organizational structure at different interfaces.",Holistic approaches
8/29/2018 10:38,Gap,76,"Determining the effectiveness of biodiversity conservation as a public health strategy requires addressing four questions about the link between biodiversity and the transmission of pathogens, within a context of limited resources and economic trade-offs. First, is there a general and causal relationship between host biodiversity and disease risk, and which direction is it in? Second, if this link is causal and negative for the majority of individual pathogens, does the increased diversity of pathogens that are present in more diverse host communities result in a net total increase or decrease in the burden of infectious disease? Third, is the net benefit of biodiversity conservation to human well-being greater than the benefits provided by diversity-degrading anthropogenic process (e.g. agricultural land-use change or harvesting a species)? Fourth, are biodiversity conservation interventions feasible and cost-effective when compared to other options employed in standard public health approaches, such as vaccination or treatment?",Biodiversity & Community-associated
8/29/2018 11:15,Gap,76,"The contemporary epidemiological environment is very different from the one in which epidemiology originally developed. As many of the exposures are ubiquitous and pathways to pathology more diffuse, the epidemiologist's task has changed from simply mapping well-defined exposures onto specific disease outcomes, to one of understanding how contextual features—ostensibly external to the process of pathogenesis—create opportunities for the progression of disease. McMichael notes that the methodological individualism, the focus on the individual as the primary unit of analysis for social causation, which has characterized modern epidemiology, has led to less concern with social, structural and historical influences on health outcomes. McMichael's description highlights the structural tendencies of infectious disease in a changing field: ‘modern epidemiology is thus oriented to explaining and quantifying the bobbing of corks on the surface waters, while largely disregarding the stronger undercurrents that determine where, on average, the cluster of corks ends up along the shoreline of risk’. Risk-factor studies, a mainstay of epidemiology research methods, compare the risk for disease between groups within the same community to identify associations with exposures that are potential causes of the disease. A major limitation of this approach is that by focusing only on community members, it fails to link community risk to the broader political and social context within which the community lies. Although research on the emergence and spread of infectious disease has traditionally focused on the biological mechanisms of transmission, and more recently the importance of the environmental context of the pathogen and reservoir, the social undercurrents that inform human exposure and transmission have been comparatively neglected.",Holistic approaches
8/29/2018 10:35,Gap,77,"The effects of anthropogenic processes on the transmission of infectious diseases have gained substantial attention in the past decade due to the simultaneous erosion of biodiversity and the increase in emerging disease events. If these two processes are causally linked, then conservation of biodiversity might benefit humans by reducing zoonotic disease risk. However, questions have been raised about the causality and generality of relationships between biodiversity and zoonotic disease risk. A fundamental question is whether conservation interventions will increase overall human well-being, including impacts on the total burden of infectious diseases, as well as other effects on physical, mental and societal well-being.",Biodiversity & Community-associated
8/29/2018 10:50,Gap,78,"The drivers behind the Rondônia malaria epidemic of the 1980s were complex and multifaceted and not limited to the ecological system of the mosquito vector and the landscape, nor to the transmission system of the parasite and human host. There were important interactions between these and other factors including the politics of the time, the economy of distant urban Brazil, and the standard practices by the migrant population of home and road construction, subsistence agriculture and deforestation. The complexities of the Rondônia epidemic represent the norm for real-world disease systems, not the exception. Disease ecologists should therefore be prepared to address and study the importance of such drivers and their interactions in order to better understand the spread of infectious disease.",Holistic approaches
8/29/2018 12:11,Gap,80,"Despite the fact that most EIDs originate in wildlife, few studies account for the population dynamics of the host, reservoir, or vector, in contrast to studies of human populations and demographics. This uncertainty concerning wildlife health presents a threat both to domestic animals and human populations. At a minimum, those infectious disease agents closely linked to human health should be identified and subjected to intense study, e.g., those that incubate and spread disease or provide ecological services such as disease regulation and/or vaccine discovery. Identifying these key species helps set priorities for routine surveillance, as well as uncovering as yet unknown species that present a threat or cure.",Holistic approaches
8/29/2018 12:19,Gap,80,"In today’s world, the biosphere is undergoing unprecedented anthropogenic ecosystem engineering, ranging from land conversion to ecological simplification and extensive biogeochemical change. The impact of these alterations spans ecosystem nodes, edges, and pathways with profound ramifications for ecosystem services and resilience. As the modified ecosystems and regimes emerge, their potential to impact human health must be understood. Investigators have developed hotspot maps to characterize risk of disease emergence and threats to biodiversity. However, coupled socio-ecological models of risk have yet to be developed. As a network evolves, dynamic risk mandates continuous adaptive iterations to monitor emerging threats. The major drivers are direct anthropogenic land-use change, e.g., deforestation, agricultural expansion, habitat destruction, and complex indirect feedback from anthropogenic impact affecting biogeochemical cycles, e.g., nutrient cycles and climate change.",Land Conversion-associated
