PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Bastone, P; Truyen, U; Lochelt, M",,,,"Bastone, P; Truyen, U; Lochelt, M",,,Potential of zoonotic transmission of non-primate foamy viruses to humans,JOURNAL OF VETERINARY MEDICINE SERIES B-INFECTIOUS DISEASES AND VETERINARY PUBLIC HEALTH,,,,,,,,,,,,"The zoonotic introduction of an animal pathogen into the human population and the subsequent extension or alteration of its host range leading to the successful maintenance of the corresponding pathogen by human-to-human transmission pose a serious risk for world-wide health care. Such a scenario occurred for instance by the introduction of simian immunodeficiency viruses into the human population resulting in the human immunodeficiency viruses (HIV) and the subsequent AIDS pandemic or the proposed recent host range switch of the SARS coronavirus from a presently unknown animal species to humans. The occurrence of zoonotic transmissions of animal viruses to humans is a permanent threat to human health and is even increased by changes in the human lifestyle. In this review, the potential of the zoonotic transmission of bovine, feline and equine foamy retroviruses will be discussed in the light of well-documented cases of zoonotic transmissions of different simian foamy viruses to humans.",,,,,,,,,,,,,,,,,,,,,,NOV,2003,50,9,,,,,417,423,,10.1046/j.0931-1793.2003.00704.x,,,,,,,,WOS:000187147000001,,,,,
J,"Raether, W; Hanel, H",,,,"Raether, W; Hanel, H",,,"Epidemiology, clinical manifestations and diagnosis of zoonotic cestode infections: an update",PARASITOLOGY RESEARCH,,,,,,,,,,,,"This paper reviews the literature on zoonotic cestode infections with specific reference to the years 1999-2003. The sources and prevalence of various zoonotic tapeworm infections caused by adult and larval stages of the genera Taenia, Echinococcus, Diphyllobothrium, Hymenolepis and Dipylidium continue to be an important cause of morbidity and mortality, not only in most underdeveloped countries but also in industrialized countries, particularly in rural areas or among immigrant groups from endemic areas. The review gives a detailed report on recent molecular epidemiological studies on the taxonomy and phylogenetic variations in Echinococcus granulosus, immunological tests and imaging techniques used in epidemiological surveys and clinical investigations of important adult and larval tapeworm infections of animals and humans. Larval stages or metacestodes of Taenia solium, Echinococcus spp. and pseudophyllidean tapeworms (Spirometra syn. Diphyllobothrium spp.) may reside in various tissues of their intermediate hosts, including humans. In particular. Cysticercus cellulosae (T. solium) and the larvae of E. granulosus, and E. multilocularis, which are predominantly located in the liver, lungs and central nervous system forming various types of cysts, lead to a complex of systemic diseases such as cysticercosis, cystic echinococcosis and alveolar echinococcosis, respectively. Relatively rare clinical manifestations are seen in the muscles, subcutaneous tissue, spleen, kidneys, bones and body cavities.",,,,,,,,,,,,,,,,,,,,,,NOV,2003,91,5,,,,,412,438,,10.1007/s00436-003-0903-9,,,,,,,,WOS:000187058700011,,,,,
J,"McManus, DP; Zhang, WB; Li, J; Bartley, PB",,,,"McManus, DP; Zhang, WB; Li, J; Bartley, PB",,,Echinococcosis,LANCET,,,,,,,,,,,,"Echinococcosis is a near-cosmopolitan zoonosis caused by adult or larval stages of cestodes belonging to the genus Echinococcus (family Taenlidae). The two major species of medical and public health importance are Echinococcus granulosus and Echinococcus multilocularis, which cause cystic echinococcosis and alveolar echinococcosis, respectively. Both are serious and severe diseases, the latter especially so, with high fatality rates and poor prognosis if managed incorrectly. Several reports have shown that both diseases are of increasing public health concern and that both can be regarded as emerging or re-emerging diseases. In this review we discuss aspects of the biology, life cycle, aetiology, distribution, and transmission of the Echinococcus organisms, and the epidemiology, clinical features, treatment, and diagnosis of the diseases they cause. We also discuss the countermeasures available for the control and prevention of these diseases. E granulosus still has a wide geographical distribution, although effective control against cystic echinococcosis has been achieved in some regions. E multilocularis and alveolar echinococcosis are more problematic, since the primary transmission cycle is almost always sylvatic so that efficient and cost-effective methods for control are unavailable.",,,,,,,,,,,,,,,,,,,,,,18-Oct,2003,362,9392,,,,,1295,1304,,10.1016/S0140-6736(03)14573-4,,,,,,,,WOS:000186036900024,,,,,
J,"Craig, P",,,,"Craig, P",,,Echinococcus multilocularis,CURRENT OPINION IN INFECTIOUS DISEASES,,,,,,,,,,,,"Purpose of review Echinococcus multilocularis is a tapeworm of foxes that may cause a zoonotic infection resulting in a highly pathogenic and potentially fatal chronic liver infestation called human alveolar echinococcosis. Radical liver resection currently offers the only potential cure. Although alveolar echinococcosis is a rare parasitic disease that is restricted to transmission in the northern hemisphere, the parasite is geographically widespread being distributed from Alaska, across Canada and north central USA, through northern Europe and Eurasia to Japan. The present review summarizes the background to this helminthic infection and recent contributions in areas of pathology, diagnosis, treatment and transmission. Recent findings Concern is growing in Europe that the prevalence and distribution of E. multilocularis in red foxes has increased significantly in the last 10-15 years. A retrospective analysis revealed >550 cases of human alveolar echinococcosis diagnosed between 1982-2000, with the majority in France, Germany and Switzerland. Human prevalence rates >3% occur in central northwest China and the disease is of public health concern in northern Japan. Improvements in immunodiagnosis with native and recombinant antigens have enabled more accurate confirmation of hepatic image findings, while development of in-vitro culture of metacestode tissues provides a useful model for screening new anti-alveolar echinococcosis drugs as alternatives to albendazole and surgery. Recombinant molecules from the oncosphere and metacestode stages have shown potential as vaccine candidates. New tools of coproantigen and copro-DNA detection for vulpine infections have proved highly beneficial in epidemiological and transmission ecology studies, as has a landscape ecology approach to develop risk models for communities in endemic areas. Summary It is possible that human AE will become an emergent zoonosis in some regions of Europe and Eurasia. Improvements in diagnostic and treatment approaches are being investigated. Further understanding of host immune responses will aid in characterization of disease pathology. Control of E. multilocularis in its natural cycles will be difficult due to the involvement of wild animal hosts, however use of anthelminthic baits and dosing of domestic dogs may reduce transmission at local scales.",,,,,,,,,,,,,,,,,,,,,,OCT,2003,16,5,,,,,437,444,,10.1097/00001432-200310000-00010,,,,,,,,WOS:000186148600010,,,,,
J,"Bossi, P; Guihot, A; Ansart, S; Bricaire, F",,,,"Bossi, P; Guihot, A; Ansart, S; Bricaire, F",,,Severe acute respiratory syndrome: update,REVUE DE MEDECINE INTERNE,,,,,,,,,,,,"Introduction. - The severe acute respiratory syndrome (SARS) has recently been recognised as a new clinical entity and a new emerging infectious disease that is highly contagious with significant mortality. Current knowledge and key points. - By the end of 17 June 2003, a total of 8500 cases included 800 deaths had been reported from 30 countries. The cause of SARS has been identified as a new corona virus. In this manuscript, we describe the clinical features, biological findings, virological tests, radiological assessment, outcome and treatments of this infection. Future. - Research on specific therapies and vaccines is on-going. (C) 2003 Editions scientifiques et medicales Elsevier SAS. Tous droits reserves.",,,,,,,,,,,,,,,,,,,,,,OCT,2003,24,10,,,,,672,680,,10.1016/S0248-8663(03)00262-5,,,,,,,,WOS:000186131400006,,,,,
J,"Ewers, C; Janssen, T; Wieler, LH",,,,"Ewers, C; Janssen, T; Wieler, LH",,,Avian pathogenic Escherichia coli (APEC),BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT,,,,,,,,,,,,"Infections with avian pathogenic Escherichia coli (APEC) cause colibacillosis, an acute and mostly systemic disease resulting in significant economic losses in poultry industry worldwide. Avian colibacillosis is a complex syndrome characterized by multiple organ lesions with airsacculitis and associated pericarditis, perihepatitis and peritonitis being most typical. Environmental factors as well as the constitution of poultry or initial viral infections influence the outcome of APEC-infections. However, several challenge experiments in chickens proofed the role of virulent APEC strains as the single aetiological agent. Currently serotypes O1:K1, O2:K1 and O78:K80 are recognized as the most prevalent, however the number of published serotypes is increasing. In addition, single APEC isolates vary profoundly in virulence, and knowledge about the molecular basis of this variability is still scarce. Known virulence factors of APEC are adhesins (F I and P-fimbriae), iron acquisition systems (aerobactin and yersiniabactin), hemolysins (hemolysinE and temperaturesensitive hemagglutinin), resistance to the bactericidal effects of serum and phagocytosis (outer membrane protein, iss protein, lipopolysaccharide, K/1)-capsule and colilcin production) as well as toxins and cytotoxins (heat stable toxin, cyto-/verotoxin and flagella toxin). Esperimental studies have shown that the respiratory tract, principally the gas-exchange region of the lung and the interstitium of the air sacs are the most important sites of entry for avian pathogenic E. coli. APEC strains adhere to the epithelial cells of air sacs presumably through F1-fimbriae. After colonization and multiplication the bacteria enter the bloodstream, and the temperature-sensitive hemagglutinin(tsh) seems to be important int his step. After invading the bloodstream APEC cause a septicemia resulting in massive lesins in multiple internal organs and in sudden death of the birds. The ability of the bacteria to acquire iron and the resistance to the bactericidal effects of serum, predominantly conferred by the increased serum survival (iss) - protein, enables APEC to multiply quickly in their hosts. Iss is regarded a specific genetic marker for avian pathogenic E. colistrains. A critical review of the literature published so far on APEC reveals, that these pathotypes are not defined appropriately. This findings urge investigations on the population structure of APEC, enabling the establishment of appropriate diagnostic tools and avoiding the obsolete use of serotyping for APEC diagnosis. So far more than 20 APEC strains have been investigated in animal experiments, explaining contrary published results. Thus, the lack of knowledge in pathogenicity and in immunity of APEC infections urges further experimental studies. As APEC share not only identical serotypes with human pathogens but also specific virulence factors, their zoonotic potential is under consideration.",,,,,,,,,,,,,,,,,,,,,,SEP-OCT,2003,116,10-Sep,,,,,381,395,,,,,,,,,,WOS:000185323100005,,,,,
J,"Wong, PMC; Chung, SW",,,,"Wong, PMC; Chung, SW",,,"A functional connection between RanGTP,NF-kappa B and septic shock",JOURNAL OF BIOMEDICAL SCIENCE,,,,,,,,,,,,"RanGTPase is importantly involved in diverse biological functions, such as nuclear transport, spindle formation during mitosis, DNA replication and cell division. This review summarizes yet another new role of Ran - control of the activity of NF-kappaB in host immune responses. Overexpression of a specific allele of Ran results in preferential accumulation of nuclear RanGTP, downmodulation of proinflammatroy cytokine production and protection against septic shock. Nuclear RanGTP interacts with Exportin1, which in turn binds to IkappaB. Nuclear IkappaB binds to NF-kappaB in the nucleus, inhibiting NF-kappaB transcriptional activation of proinflammatory cytokine genes. Nuclear IkB also functions as an adaptor between NF-kappaB and Exportin1/RanGTP, enhancing export of NF-kappaB to the cytoplasm and further reducing the magnitude of host immune responses. From this picture, it appears that modulation of host immune responses via RanGTPase will have an immense impact on a wide spectrum of emerging infectious diseases, cancer and other genetic diseases.",,,,,,,,,,,,,,,,,,,,,,SEP-OCT,2003,10,5,,,,,468,474,,10.1159/000072374,,,,,,,,WOS:000185040300002,,,,,
J,"Buttenschoen, K; Buttenschoen, DC",,,,"Buttenschoen, K; Buttenschoen, DC",,,Echinococcus granulosus infection: the challenge of surgical treatment,LANGENBECKS ARCHIVES OF SURGERY,,,,,,,,,,,,"Background. Cystic echinococcosis (CE) is a worldwide zoonosis caused by larval stages of the cestode Echinococcus granulosus. Surgery, chemotherapy, and interventional procedures are the therapeutic options. Surgery can cure the patient if the parasite is removed entirely. However, the technical procedures are inconsistent and comprise partial liver resection or opening of the parasitic cyst and removal of the parasite. Laparotomy is the most common approach. In selected cases laparoscopic methods are successful. Retrospective studies outweigh prospective ones by far. However, proper management gives favorable results. Methods. We critically review the literature and present a brief summary of current surgical strategy and focus on issues relevant for surgeons: diagnosis, indication for medical treatment, indication for surgical treatment, surgical procedures, scolicidal agents, morbidity, mortality, recurrence, perioperative medication, standards. Results. All surgical procedures aim at the complete removal of the parasite. Liver resection and pericystectomy are procedures that resect the closed cysts with a fairly wide safety margin. A meta-analysis shows the best results regarding lethality (1.2%), morbidity (11.7%), and recurrence rates (2%) for resective operations. However, most surgeons consider these methods as too radical for a benign disease. Procedures that remove the parasite and keep the pericyst (=cystectomy) are easier to carry out than resective ones. The meta-analysis presented revealed a lethality of 2%, morbidity of 23%, and recurrence rate of 10.4% for these operations. Omentoplasty is the option of choice for the management of the remaining cyst cavity. Despite alternative procedures surgery is the treatment of choice. Supportive measures comprise the use of scolicidal agents and postoperative benzimidazole administration. However, a critical review of the literature disclosed a lack of scientific confirmation of established treatment modalities and procedures. The results of ultrasound imaging were classified and correlated to the developmental phases of CE. Conclusions. Cystectomy and omentoplasty for CE should be the standard surgical procedure because it is safe, simple, and effective and meets all criteria of surgical treatment for hydatid disease: entire elimination of the parasite, no intraoperative spillage especially by using a cone, and saving healthy tissue. Pericystectomy should be used for peripherally located liver cysts that are surrounded by parenchyma only partially. Ultrasonic classification of the parasitic lesion should be used as a guideline for therapeutic measures.",,,,,,,,,,,,,,,,,,,,,,SEP,2003,388,4,,,,,218,230,,10.1007/s00423-003-0397-z,,,,,,,,WOS:000185417000003,,,,,
J,"Knudsen, TB; Kledal, TN; Andersen, O; Eugen-Olsen, J; Kristiansen, TB",,,,"Knudsen, TB; Kledal, TN; Andersen, O; Eugen-Olsen, J; Kristiansen, TB",,,Severe acute respiratory syndrome - a new coronavirus from the Chinese dragon's lair,SCANDINAVIAN JOURNAL OF IMMUNOLOGY,,,,,,,,,,,,"The recent identification of a novel clinical entity, the severe acute respiratory syndrome (SARS), the rapid subsequent spread and case fatality rates of 14-15% have prompted a massive international collaborative investigation facilitated by a network of laboratories established by the World Health Organization (WHO). As SARS has the potential of becoming the first pandemic of the new millennium, a global warning by the WHO was issued on 12 March 2003. The disease, which is believed to have its origin in the Chinese Guangdong province, spread from Hong Kong via international airports to its current worldwide distribution. The concerted efforts of a globally united scientific community have led to the independent isolation and identification of a novel coronavirus from SARS patients by several groups. The extraordinarily rapid isolation of a causative agent of this newly emerged infectious disease constitutes an unprecedented scientific achievement. The main scope of the article is to provide the clinician with an overview of the natural history, epidemiology and clinical characteristics of SARS. On the basis of the recently published viral genome and structural features common to the members of the coronavirus family, a model for host cell-virus interaction and possible targets for antiviral drugs are presented. The epidemiological consequences of introducing a novel pathogen in a previously unexposed population and the origin and evolution of a new and more pathogenic strain of coronavirus are discussed.",,,,,,,,,,,,,,,,,,,,,,SEP,2003,58,3,,,,,277,284,,10.1046/j.1365-3083.2003.01302.x,,,,,,,,WOS:000185203600001,,,,,
J,"Barrow, PA; Mead, GC; Wray, C; Duchet-Suchaux, M",,,,"Barrow, PA; Mead, GC; Wray, C; Duchet-Suchaux, M",,,Control of food-poisoning salmonella in poultry - biological options,WORLDS POULTRY SCIENCE JOURNAL,,,,,,,,,,,,"The high cost of rearing pathogen-free poultry, coupled with increases in importation from non-European countries where hygienic measures may be less stringent indicates that biological approaches to control of infection with food-borne pathogens will continue to be important. The major measures are dealt with in this review, together with the positive and negative aspects of each of these approaches. They include antibiotic therapy and prophylaxis, competitive exclusion using intestinal flora preparations, live and killed vaccines and the increasing interest in exploiting natural genetic resistance to infection and disease.",,,,,,,,,,,,,,,,,,,,,,SEP,2003,59,3,,,,,373,383,,10.1079/WPS20030024,,,,,,,,WOS:000185483800008,,,,,
J,"Bronze, MS; Greenfield, RA",,,,"Bronze, MS; Greenfield, RA",,,Preventive and therapeutic approaches to viral agents of bioterrorism,DRUG DISCOVERY TODAY,,,,,,,,,,,,"Certain viruses, such as those that cause smallpox and hemorrhagic fevers, have been identified as possible bioterrorism agents by the Centers for Disease Control and Prevention. They have been designated as potential threats because large quantities can be propagated in cell culture, they are transmissible as aerosols and, for the most part, there are only limited vaccine and pharmaceutical strategies for either prevention or treatment of established infection. An additional concern is the potential to genetically modify these agents to enhance virulence or promote resistance to vaccines or identified antivirals. Although the major impact of these agents is human illness, the release of zoonotic agents, such as the Nipah virus, would have consequences for both humans and animals because infected and noninfected animals might need to be sacrificed to control the spread of infection. Continued research is necessary to develop effective strategies to limit the impact of these biological threats.",,,,,,,,,,,,,,,,,,,,,,15-Aug,2003,8,16,,,,,740,745,,10.1016/S1359-6446(03)02778-8,,,,,,,,WOS:000184830600008,,,,,
