authors,title,year,journal,search,abstract
"Arthur L. Frank , Robert McKnight , Steven R. Kirkhorn , Paul Gunderson ",Issues of Agricultural Safety and Health,2004,Annual Review of Public Health,Annual Reviews,"Agricultural work is the most prevalent type of employment in the world. In the United States only a few are engaged in creating food and fiber for many. Agriculture includes farming, ranching, fishing, and forestry, and together they carry significant risk for the development of injury or illness. There are numerous special-population issues related to agriculture. Farmers are old and growing older, many workers are children, and migrant and seasonal help, often foreign born, make up a large percentage of the workforce. It has been only relatively recently that concerns of agricultural safety and health have become a major research focus in the United States."
"Michael C.R. Alavanja , Jane A. Hoppin , Freya Kamel ",Health Effects of Chronic Pesticide Exposure: Cancer and Neurotoxicity,2004,Annual Review of Public Health,Annual Reviews,"Pesticides are widely used in agricultural and other settings, resulting in continuing human exposure. Epidemiologic studies indicate that, despite premarket animal testing, current exposures are associated with risks to human health. In this review, we describe the routes of pesticide exposures occurring today, and summarize and evaluate the epidemiologic studies of pesticide-related carcinogenicity and neurotoxicity in adults. Better understanding of the patterns of exposure, the underlying variability within the human population, and the links between the animal toxicology data and human health effects will improve the evaluation of the risks to human health posed by pesticides. Improving epidemiology studies and integrating this information with toxicology data will allow the human health risks of pesticide exposure to be more accurately judged by public health policy makers."
"Roger Y. Dodd , David A. Leiby ",Emerging Infectious Threats to the Blood Supply,2004,Annual Review of Medicine,Annual Reviews,"During the past 15 years, it has become clear that new agents and new strains of existing agents continue to emerge worldwide as protagonists of infectious disease. These emerging agents pose threats not only to the general human population but also to recipients of blood transfusions. Indeed, the modern era of blood safety perhaps began with the recognition of HIV as an emerging agent transmissible by blood transfusion. Today, emerging infectious agents that pose a threat to the blood supply are not limited to viruses, but include bacterial, protozoan, and prion agents. Preventing the transmission of these new agents by blood transfusion is often problematic, as the available tools may be inadequate. It is certain, however, that new agents will continue to emerge as threats to blood safety and these agents are likely to require novel approaches to prevent their transmission."
"Steven M. Southwick , Meena Vythilingam , Dennis S. Charney ",The Psychobiology of Depression and Resilience to Stress: Implications for Prevention and Treatment,2005,Annual Review of Clinical Psychology,Annual Reviews,"This review discusses neurobiological and psychosocial factors associated with stress-induced depression and compares these factors with those believed to characterize stress resilience. Neurobiological factors that are discussed and contrasted include serotonin, the 5-HT1A receptor, polymorphisms of the 5-HT transporter gene, norepinephrine, alpha-2 adrenergic receptors, neuropeptide Y, polymorphisms of the alpha-2 adrenergic gene, dopamine, corticotropin-releasing hormone (CRH), dehydroepiandrosterone (DHEA), cortisol, and CRH receptors. These factors are described in the context of brain regions believed to be involved in stress, depression, and resilience to stress. Psychosocial factors associated with depression and/or stress resilience include positive emotions and optimism, humor, cognitive flexibility, cognitive explanatory style and reappraisal, acceptance, religion/spirituality, altruism, social support, role models, coping style, exercise, capacity to recover from negative events, and stress inoculation. The review concludes with potential psychological, social, spiritual, and neurobiological approaches to enhancing stress resilience, decreasing the likelihood of developing stress-induced depression/anxiety, and treating stress-induced psychopathology."
"Ermias D. Belay, Lawrence B. Schonberger",THE PUBLIC HEALTH IMPACT OF PRION DISEASES,2005,Annual Review of Public Health,Annual Reviews,"Several prion disease–related human health risks from an exogenous source can be identified in the United States, including the iatrogenic transmission of Creutzfeldt-Jakob disease (CJD), the possible occurrence of variant CJD (vCJD), and potential zoonotic transmission of chronic wasting disease (CWD). Although cross-species transmission of prion diseases seems to be limited by an apparent “species barrier,” the occurrence of bovine spongiform encephalopathy (BSE) and its transmission to humans indicate that animal prion diseases can pose a significant public health risk. Recent reports of secondary person-to-person spread of vCJD via blood products and detection of vCJD transmission in a patient heterozygous at codon 129 further illustrate the potential public health impacts of BSE."
"Charles Weissmann , Adriano Aguzzi ",Approaches to Therapy of Prion Diseases,2005,Annual Review of Medicine,Annual Reviews,"Devising approaches to the therapy of transmissible spongiform encephalopathies, or prion diseases, is beset by many difficulties. For one, the nature of the infectious agent, the prion, is understood only in outline, and its composition, structure, and mode of replication are still shrouded in mystery. In addition, the mechanism of pathogenesis is not well understood. Because clinical disease affects mainly the brain parenchyme, therapeutic agents must be able to traverse the brain-blood barrier (BBB) or have to be introduced directly into the cerebrospinal fluid or brain tissue. And finally, because the disease is usually recognized only after onset of severe clinical symptoms, the question arises as to whether the neurodegenerative processes can be reversed to any extent after a successful eradication of the agent."
"Danuta M. Skowronski , Caroline Astell , Robert C. Brunham , Donald E. Low , Martin Petric , Rachel L. Roper , Pierre J. Talbot , Theresa Tam , Lorne Babiuk ",Severe Acute Respiratory Syndrome (SARS): A Year in Review,2005,Annual Review of Medicine,Annual Reviews,"Severe acute respiratory syndrome (SARS) emerged from China as an untreatable and rapidly spreading respiratory illness of unknown etiology. Following point source exposure in February 2003, more than a dozen guests infected at a Hong Kong hotel seeded multi-country outbreaks that persisted through the spring of 2003. The World Health Organization responded by invoking traditional public health measures and advanced technologies to control the illness and contain the cause. A novel coronavirus was implicated and its entire genome was sequenced by mid-April 2003. The urgency of responding to this threat focused scientific endeavor and stimulated global collaboration. Through real-time application of accumulating knowledge, the world proved capable of arresting the first pandemic threat of the twenty-first century, despite early respiratory-borne spread and global susceptibility. This review synthesizes lessons learned from this remarkable achievement. These lessons can be applied to re-emergence of SARS or to the next pandemic threat to arise."
"Kenneth L. Gage, Michael Y. Kosoy",NATURAL HISTORY OF PLAGUE: Perspectives from More than a Century of Research,2005,Annual Review of Entomology,Annual Reviews,"For more than a century, scientists have investigated the natural history of plague, a highly fatal disease caused by infection with the gram-negative bacterium Yersinia pestis. Among their most important discoveries were the zoonotic nature of the disease and that plague exists in natural cycles involving transmission between rodent hosts and flea vectors. Other significant findings include those on the evolution of Y. pestis; geographic variation among plague strains; the dynamics and maintenance of transmission cycles; mechanisms by which fleas transmit Y. pestis; resistance and susceptibility among plague hosts; the structure and typology of natural foci; and how landscape features influence the focality, maintenance, and spread of the disease. The knowledge gained from these studies is essential for the development of effective prevention and control strategies."
"Kelly Sims Gallagher, John P. Holdren, Ambuj D. Sagar",Energy-Technology Innovation,2006,Annual Review of Environment and Resources,Annual Reviews,"Energy-technology innovation (ETI) is the set of processes leading to new or improved energy technologies that can augment energy resources; enhance the quality of energy services; and reduce the economic, environmental, or political costs associated with energy supply and use. Advances achieved through ETI have made large contributions to the improvement of the human condition over the past 100 years. Still more will be required of ETI during the decades ahead if civilization is to succeed in meeting what we believe are the three greatest energy challenges still before it: reducing dependence on oil, drastically upgrading the energy services provided to the world's poor, and providing the energy required to increase and sustain prosperity everywhere without wrecking the global climate with the emissions from fossil-fuel burning. This will require significant enhancements to ETI through deeper analysis of ETI processes, greater investments in ETI, improved innovation policies, and better coordination and partnerships across sectors and countries."
William Balée,The Research Program of Historical Ecology,2006,Annual Review of Anthropology,Annual Reviews,"Historical ecology is a new interdisciplinary research program concerned with comprehending temporal and spatial dimensions in the relationships of human societies to local environments and the cumulative global effects of these relationships. Historical ecology contains core postulates that concern qualitative types of human-mediated disturbance of natural environments and the effect of these on species diversity, among other parameters. A central term used in historical ecology to situate human behavior and agency in the environment is the landscape, as derived from historical geography, instead of the ecosystem, which is from systems ecology. Historical ecology is similar to nonequilibrium dynamic theory, but differs in its postulate of human-mediated disturbance as a principle of landscape transformation. Such disturbances counterintuitively may involve anthropogenic primary and secondary succession that result in net increases of alpha and even beta diversity. Applied historical ecology can supply the reference conditions of time depth and traditional knowledge to restore past landscapes."
Martin C.J. Maiden,Multilocus Sequence Typing of Bacteria,2006,Annual Review of Microbiology,Annual Reviews,"Multilocus sequence typing (MLST) was proposed in 1998 as a portable, universal, and definitive method for characterizing bacteria, using the human pathogen Neisseria meningitidis as an example. In addition to providing a standardized approach to data collection, by examining the nucleotide sequences of multiple loci encoding housekeeping genes, or fragments of them, MLST data are made freely available over the Internet to ensure that a uniform nomenclature is readily available to all those interested in categorizing bacteria. At the time of writing, over thirty MLST schemes have been published and made available on the Internet, mostly for pathogenic bacteria, although there are schemes for pathogenic fungi and some nonpathogenic bacteria. MLST data have been employed in epidemiological investigations of various scales and in studies of the population biology, pathogenicity, and evolution of bacteria. The increasing speed and reduced cost of nucleotide sequence determination, together with improved web-based databases and analysis tools, present the prospect of increasingly wide application of MLST."
"Molly K. McLendon, Michael A. Apicella, Lee-Ann H. Allen","Francisella tularensis: Taxonomy, Genetics, and Immunopathogenesis of a Potential Agent of Biowarfare",2006,Annual Review of Microbiology,Annual Reviews,"Tularemia is a zoonosis of humans caused by infection with the facultative intracellular bacterium Francisella tularensis. Interest in F. tularensis has increased markedly in the past few years because of its potential use as an agent of bioterrorism. Five subspecies of this organism are found in the Northern hemisphere, but only F. tularensis subsp. tularensis and subsp. holarctica cause disease in humans. This review summarizes what is known about the pathogenesis of tularemia with a focus on bacterial surface components such as lipopolysaccharide and capsule as well as information obtained from the F. tularensis subsp. tularensis SCHU S4 genome. In particular, the mechanisms of action of recently identified virulence factors are discussed in the context of bacterial replication in macrophages and manipulation of the host inflammatory response. Throughout this report, shared and unique features of F. tularensis subsp. tularensis, subsp. holarctica, and subsp. novicida are discussed."
Maria T. Brandl,Fitness of Human Enteric Pathogens on Plants and Implications for Food Safety,2006,Annual Review of Phytopathology,Annual Reviews,"The continuous rise in the number of outbreaks of foodborne illness linked to fresh fruit and vegetables challenges the notion that enteric pathogens are defined mostly by their ability to colonize the intestinal habitat. This review describes the epidemiology of produce-associated outbreaks of foodborne disease and presents recently acquired knowledge about the behavior of enteric pathogens on plants, with an emphasis on Salmonella enterica, Escherichia coli O157:H7, and Listeria monocytogenes. The growth and survival of enteric pathogens on plants are discussed in the light of knowledge and concepts in plant microbial ecology, including epiphytic fitness, the physicochemical nature of plant surfaces, biofilm formation, and microbe-microbe and plant-microbe interactions. Information regarding the various stresses that affect the survival of enteric pathogens and the molecular events that underlie their interactions in the plant environment provides a good foundation for assessing their role in the infectious dose of the pathogens when contaminated fresh produce is the vehicle of illness."
"Michiel P. C. Siroen, Tom Teerlink, Robert J. Nijveldt, Hubert A. Prins, Milan C. Richir, Paul A.M. van Leeuwen",The Clinical Significance of Asymmetric Dimethylargin,2006,Annual Review of Nutrition,Annual Reviews,"In 1992, asymmetrical dimethylarginine (ADMA) was first described as an endogenous inhibitor of the arginine-nitric oxide (NO) pathway. From then, its role in regulating NO production has attracted increasing attention. Nowadays, ADMA is regarded as a novel cardiovascular risk factor. The role of the kidney and the liver in the metabolism of ADMA has been extensively studied and both organs have proven to play a key role in the elimination of ADMA. Although the liver removes ADMA exclusively via degradation by the enzyme dimethylarginine dimethylaminohydrolase (DDAH), the kidney uses both metabolic degradation via DDAH and urinary excretion to eliminate ADMA. Modulating activity and/or expression of DDAH is still under research and may be a potential therapeutic approach to influence ADMA plasma levels. Interestingly, next to its association with cardiovascular disease, ADMA also seems to play a role in other clinical conditions, such as critical illness, hepatic failure, and preeclampsia. To elucidate the clinical significance of ADMA in these conditions, the field of research must be enlarged."
Thomas R. Oliver,THE POLITICS OF PUBLIC HEALTH POLICY,2006,Annual Review of Public Health,Annual Reviews,"Politics, for better or worse, plays a critical role in health affairs. The purpose of this article is to articulate a role for political analysis of public health issues, ranging from injury and disease prevention to health care reform. It begins by examining how health problems make it onto the policy agenda. Perceptions regarding the severity of the problem, responsibility for the problem, and affected populations all influence governmental responses. Next, it considers how bounded rationality, fragmented political institutions, resistance from concentrated interests, and fiscal constraints usually lead political leaders to adopt incremental policy changes rather than comprehensive reforms even when faced with serious public health problems. It then identifies conditions under which larger-scale transformation of health policy can occur, focusing on critical junctures in policy development and the role of policy entrepreneurs in seizing opportunities for innovation. Finally, it reviews the challenges confronting officials and agencies who are responsible for implementing and administering health policies. Public health professionals who understand the political dimensions of health policy can conduct more realistic research and evaluation, better anticipate opportunities as well as constraints on governmental action, and design more effective policies and programs."
David B. Lewis ,Avian Flu to Human Influenza,2006,Annual Review of Medicine,Annual Reviews,"Influenza A viral infection causes substantial annual morbidity and mortality worldwide, particularly for infants, the elderly, and the immunocompromised. The virus mainly replicates in the respiratory tract and is spread by respiratory secretions. A growing concern is the recent identification of H5N1 strains of avian influenza A in Asia that were previously thought to infect only wild birds and poultry, but have now infected humans, cats, pigs, and other mammals, often with fatal results, in an ongoing outbreak. A human pandemic with H5N1 virus could potentially be catastrophic because most human populations have negligible antibody-mediated immunity to the H5 surface protein and this viral subtype is highly virulent. Whether an H5N1 influenza pandemic will occur is likely to hinge on whether the viral strains involved in the current outbreak acquire additional mutations that facilitate efficient human-to-human transfer of infection. Although there is no historical precedent for an H5N1 avian strain causing widespread human-to-human transmission, some type of influenza A pandemic is very likely in the near future. The possibility of an H5N1 influenza pandemic has highlighted the many current limitations of treatment with antiviral agents and of vaccine production and immunogenicity. Future vaccine strategies that may include more robust induction of T-cell responses, such as cytotoxic T lymphocytes, may provide better protection than is offered by current vaccines, which rely solely or mainly on antibody neutralization of infection."
David H. Wise,"CANNIBALISM, FOOD LIMITATION, INTRASPECIFIC COMPETITION, AND THE REGULATION OF SPIDER POPULATIONS",2006,Annual Review of Entomology,Annual Reviews,"Cannibalism among generalist predators has implications for the dynamics of terrestrial food webs. Spiders are common, ubiquitous arthropod generalist predators in most natural and managed terrestrial ecosystems. Thus, the relationship of spider cannibalism to food limitation, competition, and population regulation has direct bearing on basic ecological theory and applications such as biological control. This review first briefly treats the different types of spider cannibalism and then focuses in more depth on evidence relating cannibalism to population dynamics and food web interactions to address the following questions: Is cannibalism in spiders a foraging strategy that helps to overcome the effects of a limited supply of calories and/or nutrients? Does cannibalism in spiders reduce competition for prey? Is cannibalism a significant density-dependent factor in spider population dynamics? Does cannibalism dampen spider-initiated trophic cascades?"
"Scott D. Grosse, Steven M. Teutsch, Anne C. Haddix",Lessons from Cost-Effectiveness Research for United States Public Health Policy,2007,Annual Review of Public Health,Annual Reviews,"The application of cost-effectiveness analysis to health care has been the subject of previous reviews. We address the use of economic evaluation methods in public health, including case studies of population-level policies, e.g., environmental regulations, injury prevention, tobacco control, folic acid fortification, and blood product safety, and the public health promotion of clinical preventive services, e.g., newborn screening, cancer screening, and childhood immunizations. We review the methods used in cost-effectiveness analysis, the implications for cost-effectiveness findings, and the extent to which economic studies have influenced policy and program decisions. We discuss reasons for the relatively limited impact to date of economic evaluation in public health. Finally, we address the vexing question of how to decide which interventions are cost effective and worthy of funding. Policy makers have funded certain interventions with rather high cost-effectiveness ratios, notably nucleic acid testing for blood product safety. Cost-effectiveness estimates are a decision aid, not a decision rule."
"John A. Dani, Daniel Bertrand",Nicotinic Acetylcholine Receptors and Nicotinic Cholinergic Mechanisms of the Central Nervous System,2007,Annual Review of Pharmacology and Toxicology,Annual Reviews,"Subtypes of neuronal nicotinic acetylcholine receptors (nAChRs) are constructed from numerous subunit combinations that compose channel-receptor complexes with varied functional and pharmacological characteristics. Structural and functional diversity and the broad presynaptic, postsynaptic, and nonsynaptic locations of nAChRs underlie their mainly modulatory roles throughout the mammalian brain. Presynaptic and preterminal nicotinic receptors enhance neurotransmitter release, postsynaptic nAChRs contribute a small minority of fast excitatory transmission, and nonsynaptic nAChRs modulate many neurotransmitter systems by influencing neuronal excitability. Nicotinic receptors have roles in development and synaptic plasticity, and nicotinic mechanisms participate in learning, memory, and attention. Decline, disruption, or alterations of nicotinic cholinergic mechanisms contribute to dysfunctions such as epilepsy, schizophrenia, Parkinson's disease, autism, dementia with Lewy bodies, Alzheimer's disease, and addiction."
"Maureen K. Hahn, Randy D. Blakely",The Functional Impact of SLC6 Transporter Genetic Variation,2007,Annual Review of Pharmacology and Toxicology,Annual Reviews,"Solute carrier 6 (SLC6) is a gene family of ion-coupled plasma membrane cotransporters, including transporters of neurotransmitters, amino acids, and osmolytes that mediate the movement of their substrates into cells to facilitate or regulate synaptic transmission, neurotransmitter recycling, metabolic function, and fluid homeostasis. Polymorphisms in transporter genes may influence expression and activity of transporters and contribute to behavior, traits, and disease. Determining the relationship between the monoamine transporters and complex psychiatric disorders has been a particular challenge that is being met by evolving approaches. Elucidating the functional consequences of and interactions among polymorphic sites is advancing our understanding of this relationship. Examining the influence of environmental influences, especially early-life events, has helped bridge the gap between genotype and phenotype. Refining phenotypes, through assessment of endophenotypes, specific behavioral tasks, medication response, and brain network properties has also improved detection of the impact of genetic variation on complex behavior and disease."
"Samantha M. Cook, Zeyaur R. Khan, John A. Pickett",The Use of Push-Pull Strategies in Integrated Pest Management,2007,Annual Review of Entomology,Annual Reviews,"Push-pull strategies involve the behavioral manipulation of insect pests and their natural enemies via the integration of stimuli that act to make the protected resource unattractive or unsuitable to the pests (push) while luring them toward an attractive source (pull) from where the pests are subsequently removed. The push and pull components are generally nontoxic. Therefore, the strategies are usually integrated with methods for population reduction, preferably biological control. Push-pull strategies maximize efficacy of behavior-manipulating stimuli through the additive and synergistic effects of integrating their use. By orchestrating a predictable distribution of pests, efficiency of population-reducing components can also be increased. The strategy is a useful tool for integrated pest management programs reducing pesticide input. We describe the principles of the strategy, list the potential components, and present case studies reviewing work on the development and use of push-pull strategies in each of the major areas of pest control."
Michael F. Antolin,Unpacking ?: Within-Host Dynamics and the Evolutionary Ecology of Pathogen Transmission,2008,"Annual Review of Ecology, Evolution, and Systematics",Annual Reviews,"Rather than being fixed, pathogen transmission varies and is thus an object of natural selection. I examine how opportunities for selection on pathogen transmission depend on (a) pathogen fitness, (b) genetic variability, and (c) forces acting at within- and between-host levels. The transmission rate, ?, influences processes such as epidemic spread, postepidemic fade-outs, and low-level persistence. Complexity of infection processes within hosts leads to different transmission rates among hosts and between types of pathogens (viruses, bacteria, eukaryotic Protozoa). Generality emerges, however, by “unpacking” ? into within- and between-host opportunities for selection. This is illustrated by evolutionary biology of the bacterium Yersinia pestis, which causes plague in mammals, remains highly virulent and is transmitted by multiple routes, including fleas and direct contacts with infected hosts. The strength of within-host selection is manifested through infectivity, replication, pathogenicity, and dissemination from hosts. At the between-host level, responses to selection are less predictable because of environmental variation, whereas vector-borne transmission (usually by arthropods) provides additional opportunities for selection and trade-offs between vectors and hosts. In subdivided host populations, selection favors transmission before local pathogen extinction occurs, but key components (e.g. infectious periods of hosts) are determined by within-host dynamics. Pathogen transmission is often viewed in the context of transmission-virulence trade-offs, but within-host dynamics may cause host damage unrelated to transmission, and thus transmission-virulence trade-offs are not universal."
"Kathryn M. Orzech, Mark Nichter",From Resilience to Resistance: Political Ecological Lessons from Antibiotic and Pesticide Resistance,2008,Annual Review of Anthropology,Annual Reviews,"This article investigates the interplay of natural and human systems with reference to the growing global problem of antibiotic resistance. Among the diverse causes of antibiotic resistance, we focus broadly on three related causes: pharmaceutical practice and the liberal consumption of antibiotics, the use of antibiotic-containing products in the home, and the use of antibiotics in commercial animal husbandry and agriculture. We draw a parallel between pesticide and antibiotic resistance and examine whether lessons learned from one case may be applicable to the other. Although our main focus is a microecological analysis examining how humans are changing their environments, our conclusion addresses larger implications of this problem for global health. Through the theoretical lens of political ecology, we ask how we may address the “tragedy of the antibiotic commons” through public education and consumer activism as well as global health governance."
