STUDY_ID,REVIEWERS,SCREEN1,SCREEN2,authors,title,year,journal,search,abstract
11,Cecilia,NO,NA,"Stefan Dercon, Douglas Gollin",agriculture in african development: theories and strategies,2014,Annual Review of Resource Economics,Annual Reviews,"Agriculture is the largest sector in most sub-Saharan economies in terms of employment, and it plays an important role in supplying food and export earnings. Rural poverty rates remain high, and labor productivity is strikingly low. This article asks how these factors shape the role of agriculture in African development strategies. Is agricultural growth a prerequisite for growth in other sectors? Or will urbanization and nonagricultural export markets ultimately be the forces that pull the rural economy into higher productivity? We argue that agricultural development strategies will vary widely because of heterogeneity across and within countries."
12,Cecilia,NO,NA,"Thomas W. Valente, Stephanie R. Pitts",an appraisal of social network theory and analysis as applied to public health: challenges and opportunities,2017,Annual Review of Public Health,Annual Reviews,"The use of social network theory and analysis methods as applied to public health has expanded greatly in the past decade, yielding a significant academic literature that spans almost every conceivable health issue. This review identifies several important theoretical challenges that confront the field but also provides opportunities for new research. These challenges include (a) measuring network influences, (b) identifying appropriate influence mechanisms, (c) the impact of social media and computerized communications, (d) the role of networks in evaluating public health interventions, and (e) ethics. Next steps for the field are outlined and the need for funding is emphasized. Recently developed network analysis techniques, technological innovations in communication, and changes in theoretical perspectives to include a focus on social and environmental behavioral influences have created opportunities for new theory and ever broader application of social networks to public health topics."
13,Cecilia,NO,NA,Michael D. Lairmore,animal models of bovine leukemia virus and human t-lymphotrophic virus type-1: insights in transmission and pathogenesis,2014,Annual Review of Animal Biosciences,Annual Reviews,"Bovine leukemia virus (BLV) and human T-lymphotrophic virus type-1 (HTLV-1) are related retroviruses associated with persistent and lifelong infections and a low incidence of lymphomas within their hosts. Both viruses can be spread through contact with bodily fluids containing infected cells, most often from mother to offspring through breast milk. Each of these complex retroviruses contains typical gag, pol, and env genes but also unique, nonstructural proteins encoded from the pX region. These nonstructural genes encode the Tax and Rex regulatory proteins, as well as novel proteins essential for viral spread in vivo. Improvements in the molecular tools to test these viral determinants in cellular and animal models have provided new insights into the pathogenesis of each virus. Comparisons of BLV and HTLV-1 provide insights into mechanisms of spread and tumor formation, as well as potential approaches to therapeutic intervention against the infections."
14,Cecilia,NO,NA,"Siobhan B. Cooke, Liliana M. Davalos, Alexis M. Mychajliw, Samuel T.",anthropogenic extinction dominates holocene declines of west indian mammals,2017,"Annual Review of Ecology, Evolution, and Systematics",Annual Reviews,"The extensive postglacial mammal losses in the West Indies provide an opportunity to evaluate extinction dynamics, but limited data have hindered our ability to test hypotheses. Here, we analyze the tempo and dynamics of extinction using a novel data set of faunal last-appearance dates and human first-appearance dates, demonstrating widespread overlap between humans and now-extinct native mammals. Humans arrived in four waves (Lithic, Archaic, Ceramic, and European), each associated with increased environmental impact. Large-bodied mammals and several bats were extinct by the Archaic, following protracted extinction dynamics perhaps reflecting habitat loss. Most small-bodied rodents and lipotyphlan insectivores survived the Ceramic, but extensive landscape transformation and the introduction of invasive mammals following European colonization caused further extinctions, leaving a threatened remnant fauna. Both large- and small-bodied nonvolant mammals disappeared, reflecting complex relationships between body size, ecology, and anthropogenic change. Extinct bats were generally larger species, paralleling declines from natural catastrophes."
15,Joy,NO,NA,"Markus Herrmann, Ramanan Laxminarayan",antibiotic effectiveness: new challenges in natural resource management,2010,Annual Review of Resource Economics,Annual Reviews,"Problems of optimal natural resource extraction that were first addressed by economists in the contexts of fisheries and forests have reemerged in the context of a newly recognized resource: antibiotic effectiveness. This review introduces economists to the growing literature on optimal use, innovation, and regulation of antibiotic effectiveness. Along the way, we draw links and parallels to similar problems in the management of other resources with which economists may be more familiar, and we address new questions that have arisen in the context of antibiotic effectiveness but that are also relevant to other resources."
16,Joy,NO,NA,"Vidadi Yusibov, Natasha Kushnir, Stephen J. Streatfield",antibody production in plants and green algae,2016,Annual Review of Plant Biology ,Annual Reviews,"Monoclonal antibodies (mAbs) have a wide range of modern applications, including research, diagnostic, therapeutic, and industrial uses. Market demand for mAbs is high and continues to grow. Although mammalian systems, which currently dominate the biomanufacturing industry, produce effective and safe recombinant mAbs, they have a limited manufacturing capacity and high costs. Bacteria, yeast, and insect cell systems are highly scalable and cost effective but vary in their ability to produce appropriate posttranslationally modified mAbs. Plants and green algae are emerging as promising production platforms because of their time and cost efficiencies, scalability, lack of mammalian pathogens, and eukaryotic posttranslational protein modification machinery. So far, plant- and algae-derived mAbs have been produced predominantly as candidate therapeutics for infectious diseases and cancer. These candidates have been extensively evaluated in animal models, and some have shown efficacy in clinical trials. Here, we review ongoing efforts to advance the production of mAbs in plants and algae."
17,Joy,NO,NA,"J.E. Butler, Nancy Wertz, Marek Sinkora",antibody repertoire development in swine,2017,Annual Review of Animal Biosciences,Annual Reviews,"We describe the domestication of the species, explore its value to agriculture and bioscience, and compare its immunoglobulin (Ig) genes to those of other vertebrates. For encyclopedic information, we cite earlier reviews and chapters. We provide current gene maps for the heavy and light chain loci and describe their polygeny and polymorphy. B-cell and antibody repertoire development is a major focus, and we present findings that challenge several mouse-centric paradigms. We focus special attention on the role of ileal Peyer's patches, the largest secondary lymphoid tissues in newborn piglets and a feature of all artiodactyls. We believe swine fetal development and early class switch evolved to provide natural secretory IgA antibodies able to prevent translocation of bacteria from the gut while the bacterial PAMPs drive development of adaptive immunity. We discuss the value of using the isolator piglet model to address these issues."
18,Cecilia,NO,NA,"Samantha L. Lammie, James M. Hughes",antimicrobial resistance food safety and one health: the need for convergence,2016,Annual Review of Food Science and Technology,Annual Reviews,"Antimicrobial resistance is a complex, multifaceted, urgent global health problem. There is increasing concern about the emergence of multidrug-resistant superbugs. These superbugs result in infections responsive to treatment with few if any currently available antimicrobial agents, reviving memories of the preantibiotic era and evoking concerns about a postantibiotic era. Use of antibiotics exerts selective pressure on pathogens as well as on commensal organisms that are part of the normal flora of humans, animals, and the environment; this favors the emergence of resistant strains and sometimes involves the food supply. Addressing this urgent threat requires implementation of a multifaceted strategy that has been articulated in the past few years; implementation will require sustained political will, investment in systems and research, and a One Health approach involving improved communication, cooperation, and collaboration among the many professional disciplines and organizations with important roles to play at the intersection of human, animal, and environmental health. Priorities include strengthened human and animal health surveillance and monitoring for resistant organisms, antimicrobial stewardship programs, infection-control programs, development and approval of new antimicrobial agents, research on innovative therapeutic approaches, development of rapid diagnostic tests and new vaccines, and educational programs that target professional groups and the public."
19,Joy,NO,NA,"David Horn, Manoj T. Duraisingh",antiparasitic chemotherapy: from genomes to mechanisms,2014,Annual Review of Pharmacology and Toxicology,Annual Reviews,"Owing to the absence of antiparasitic vaccines and the constant threat of drug resistance, the development of novel antiparasitic chemotherapies remains of major importance for disease control. A better understanding of drug transport (uptake and efflux), drug metabolism and the identification of drug targets, and mechanisms of drug resistance would facilitate the development of more effective therapies. Here, we focus on malaria and African trypanosomiasis. We review existing drugs and drug development, emphasizing high-throughput genomic and genetic approaches, which hold great promise for elucidating antiparasitic mechanisms. We describe the approaches and technologies that have been influential for each parasite and develop new ideas for future research directions, including mode-of-action studies for drug target deconvolution."
20,Joy,NO,NA,"Robert D. Holt, Michael B. Bonsall",apparent competition,2017,"Annual Review of Ecology, Evolution, and Systematics",Annual Reviews,"Most species have one or more natural enemies, e.g., predators, parasites, pathogens, and herbivores, among others. These species in turn typically attack multiple victim species. This leads to the possibility of indirect interactions among those victims, both positive and negative. The term apparent competition commonly denotes negative indirect interactions between victim species that arise because they share a natural enemy. This indirect interaction, which in principle can be reflected in many facets of the distribution and abundance of individual species and more broadly govern the structure of ecological communities in time and space, pervades many natural ecosystems. It also is a central theme in many applied ecological problems, including the control of agricultural pests, harvesting, the conservation of endangered species, and the dynamics of emerging diseases. At one end of the scale of life, apparent competition characterizes intriguing aspects of dynamics within individual organisms—for example, the immune system is akin in many ways to a predator that can induce negative indirect interactions among different pathogens. At intermediate scales of biological organization, the existence and strength of apparent competition depend upon many contingent details of individual behavior and life history, as well as the community and spatial context within which indirect interactions play out. At the broadest scale of macroecology and macroevolution, apparent competition may play a major, if poorly understood, role in the evolution of species’ geographical ranges and adaptive radiations."
21,Cecilia,NO,NA,"Charles Weissmann , Adriano Aguzzi ",approaches to therapy of prion diseases,2005,Annual Review of Medicine,Annual Reviews,"Devising approaches to the therapy of transmissible spongiform encephalopathies, or prion diseases, is beset by many difficulties. For one, the nature of the infectious agent, the prion, is understood only in outline, and its composition, structure, and mode of replication are still shrouded in mystery. In addition, the mechanism of pathogenesis is not well understood. Because clinical disease affects mainly the brain parenchyme, therapeutic agents must be able to traverse the brain-blood barrier (BBB) or have to be introduced directly into the cerebrospinal fluid or brain tissue. And finally, because the disease is usually recognized only after onset of severe clinical symptoms, the question arises as to whether the neurodegenerative processes can be reversed to any extent after a successful eradication of the agent."
22,Cecilia,YES,NO,Sharon N. DeWitte,archaeological evidence of epidemics can inform future epidemics,2016,Annual Review of Anthropology,Annual Reviews,"The recent Ebola epidemic provides a dramatic example of the devastation and fear generated by epidemics, particularly those caused by new emerging or reemerging diseases. A focus on the control and prevention of diseases in living populations dominates most epidemic disease research. However, research on epidemics in the past provides a temporal depth to our understanding of the context and consequences of diseases and is crucial for predicting how diseases might shape human biology and demography in the future. This article reviews recent research on historic epidemics of plague and tuberculosis, both of which have affected human populations for millennia. Research on these diseases demonstrates the range (and differential availability) of various lines of evidence (e.g., burial context, diagnostic skeletal lesions, molecular data) that inform about past disease in general. I highlight how research on past epidemics may be informative in ways that benefit living populations."
23,Joy,NO,NA,Philippe Brouqui,arthropod-borne diseases associated with political and social disorder,2011,Annual Review of Entomology,Annual Reviews,"The living conditions and the crowded situations of the homeless, war refugees, or victims of a natural disaster provide ideal conditions for the spread of lice, fleas, ticks, flies and mites. The consequence of arthropod infestation in these situations is underestimated. Along with louse-borne infections such as typhus, trench fever, and relapsing fever, the relationship between Acinetobacter spp.–infected lice and bacteremia in the homeless is not clear. Murine typhus, tungiasis, and myiasis are likely underestimated, and there has been a reemergence of bed bugs. Attempted eradication of the body louse, despite specific measures, has been disappointing, and infections with Bartonella quintana continue to be reported. The efficacy of ivermectin in eradicating the human body louse, although the effect is not sustained, might provide new therapeutic approaches. Arthropod-borne diseases continue to emerge within the deprived population. Public health programs should be engaged rapidly to control these pests and reduce the incidence of these transmissible diseases."
24,Cecilia,NO,NA,"Peter H. Adler, Holly C. Tuten, Mark P. Nelder",arthropods of medicoveterinary importance in zoos,2011,Annual Review of Entomology,Annual Reviews,"Zoos present a unique assemblage of arthropods, captive vertebrates, free-roaming wildlife, humans, and plants, each with its own biota of symbiotic organisms. Arthropods of medicoveterinary importance are well represented in zoos, and an ample literature documents their influence in these animal-rich environments. Mosquitoes are of greatest significance because of the animal and human pathogens they transmit, followed by ectoparasites, many of which are exotic and present health risks to captive and native animals. Biting flies, cockroaches, filth flies, and triatomid bugs represent additional concerns. Integrated management programs for arthropods in zoos are commonplace. Zoos can play a role in biosurveillance, serving as an advanced guard for detecting exotic arthropods and vector-borne diseases. We provide the first review of arthropods of medicoveterinary importance in zoos. A case is made for the value of collaborations between entomologists and zoo personnel as a means of enhancing research and public education while safeguarding the health of captive animals and the public."
25,Joy,NO,NA,"Valerie Cortez, Victoria A. Meliopoulos, Erik A. Karlsson, Virginia Hargest, Cydney Johnson, Stacey Schultz-Cherry",astrovirus biology and pathogenesis,2017,Annual Review of Virology,Annual Reviews,"Astroviruses are nonenveloped, positive-sense single-stranded RNA viruses that cause gastrointestinal illness. Although a leading cause of pediatric diarrhea, human astroviruses are among the least characterized enteric RNA viruses. However, by using in vitro methods and animal models to characterize virus-host interactions, researchers have discovered several important properties of astroviruses, including the ability of the astrovirus capsid to act as an enterotoxin, disrupting the gut epithelial barrier. Improved animal models are needed to study this phenomenon, along with the pathogenesis of astroviruses, particularly in those strains that can cause extraintestinal disease. Much like for other enteric viruses, the current dogma states that astroviruses infect in a species-specific manner; however, this assumption is being challenged by growing evidence that these viruses have potential to cross species barriers. This review summarizes these remarkable facets of astrovirus biology, highlighting critical steps toward increasing our understanding of this unique enteric pathogen."
26,Cecilia,NO,NA,David B. Lewis ,avian flu to human influenza,2006,Annual Review of Medicine,Annual Reviews,"Influenza A viral infection causes substantial annual morbidity and mortality worldwide, particularly for infants, the elderly, and the immunocompromised. The virus mainly replicates in the respiratory tract and is spread by respiratory secretions. A growing concern is the recent identification of H5N1 strains of avian influenza A in Asia that were previously thought to infect only wild birds and poultry, but have now infected humans, cats, pigs, and other mammals, often with fatal results, in an ongoing outbreak. A human pandemic with H5N1 virus could potentially be catastrophic because most human populations have negligible antibody-mediated immunity to the H5 surface protein and this viral subtype is highly virulent. Whether an H5N1 influenza pandemic will occur is likely to hinge on whether the viral strains involved in the current outbreak acquire additional mutations that facilitate efficient human-to-human transfer of infection. Although there is no historical precedent for an H5N1 avian strain causing widespread human-to-human transmission, some type of influenza A pandemic is very likely in the near future. The possibility of an H5N1 influenza pandemic has highlighted the many current limitations of treatment with antiviral agents and of vaccine production and immunogenicity. Future vaccine strategies that may include more robust induction of T-cell responses, such as cytotoxic T lymphocytes, may provide better protection than is offered by current vaccines, which rely solely or mainly on antibody neutralization of infection."
27,Cecilia,NO,NA,"Emma Teeling, Sonja Vernes, Liliana M. Davalos, David A. Ray, M. Thomas P. Gilbert, Eugene Myers, Bat1K Consortium",bat biology genomes and the bat1k project: to generate chromosome-level genomes for all living bat species,2018,Annual Review of Animal Biosciences,Annual Reviews,"Bats are unique among mammals, possessing some of the rarest mammalian adaptations, including true self-powered flight, laryngeal echolocation, exceptional longevity, unique immunity, contracted genomes, and vocal learning. They provide key ecosystem services, pollinating tropical plants, dispersing seeds, and controlling insect pest populations, thus driving healthy ecosystems. They account for more than 20% of all living mammalian diversity, and their crown-group evolutionary history dates back to the Eocene. Despite their great numbers and diversity, many species are threatened and endangered. Here we announce Bat1K, an initiative to sequence the genomes of all living bat species (n?1,300) to chromosome-level assembly. The Bat1K genome consortium unites bat biologists (>132 members as of writing), computational scientists, conservation organizations, genome technologists, and any interested individuals committed to a better understanding of the genetic and evolutionary mechanisms that underlie the unique adaptations of bats. Our aim is to catalog the unique genetic diversity present in all living bats to better understand the molecular basis of their unique adaptations; uncover their evolutionary history; link genotype with phenotype; and ultimately better understand, promote, and conserve bats. Here we review the unique adaptations of bats and highlight how chromosome-level genome assemblies can uncover the molecular basis of these traits. We present a novel sequencing and assembly strategy and review the striking societal and scientific benefits that will result from the Bat1K initiative."
28,Joy,YES,NO,David T.S. Hayman,bats as viral reservoirs,2016,Annual Review of Virology,Annual Reviews,"Bats are hosts of a range of viruses, including ebolaviruses, and many important human viral infections, such as measles and mumps, may have their ancestry traced back to bats. Here, I review viruses of all viral families detected in global bat populations. The viral diversity in bats is substantial, and viruses with all known types of genomic structures and replication strategies have been discovered in bats. However, the discovery of viruses is not geographically even, with some apparently undersampled regions, such as South America. Furthermore, some bat families, including those with global or wide distributions such as Emballonuridae and Miniopteridae, are underrepresented on viral databases. Future studies, including those that address these sampling gaps along with those that develop our understanding of viral-host relationships, are highlighted."
29,Joy,NO,NA,"Subhrendu K. Pattanayak, Alexander Pfaff",behavior environment and health in developing countries: evaluation and valuation,2009,Annual Review of Resource Economics,Annual Reviews,"We consider health and environmental quality in developing countries, where limited resources constrain behaviors that combat enormously burdensome health challenges. We focus on four huge challenges that are preventable (i.e., are resolved in rich countries). We distinguish them as special cases in a general model of household behavior, which is critical and depends on risk information. Simply informing households may achieve a lot in the simplest challenge (groundwater arsenic); yet, for the three infectious situations discussed (respiratory, diarrhea, and malaria), community coordination and public provision may also be necessary. More generally, social interactions may justify additional policies. For each situation, we discuss the valuation of private spillovers (i.e., externalities) and evaluation of public policies to reduce environmental risks and spillovers. Finally, we reflect on open questions in our model and knowledge gaps in the empirical literature including the challenges of scaling up and climate change."
30,Joy,YES,NO,Aaron S. Bernstein,biological diversity and public health,2014,Annual Review of Public Health,Annual Reviews,"In the wake of a species extinction event unprecedented in human history, how the variety, distribution, and abundance of life on earth may influence health has gained credence as a worthy subject for research and study at schools of public health and for consideration among policy makers. This article reviews a few of the principal ways in which health depends on biodiversity, including the discovery of new medicines, biomedical research, the provision of food, and the distribution and spread of infections. It also examines how changes in biological diversity underlie much of the global burden of disease and how a more thorough understanding of life on earth and its relationships has the potential to greatly alleviate and prevent human suffering."
31,Joy,NO,NA,Paul D. Ready,biology of phlebotomine sand flies as vectors of disease agents,2013,Annual Review of Entomology,Annual Reviews,"Phlebotomines are the sole or principal vectors of Leishmania, Bartonella bacilliformis, and some arboviruses. The coevolution of sand flies with Leishmania species of mammals and lizards is considered in relation to the landscape epidemiology of leishmaniasis, a neglected tropical disease. Evolutionary hypotheses are unresolved, so a practical phlebotomine classification is proposed to aid biomedical information retrieval. The vectors of Leishmania are tabulated and new criteria for their incrimination are given. Research on fly-parasite-host interactions, fly saliva, and behavioral ecology is reviewed in relation to parasite manipulation of blood feeding, vaccine targets, and pheromones for lures. Much basic research is based on few transmission cycles, so generalizations should be made with caution. Integrated research and control programs have begun, but improved control of leishmaniasis and nuisance-biting requires greater emphasis on population genetics and transmission modeling. Most leishmaniasis transmission is zoonotic, affecting the poor and tourists in rural and natural areas, and therefore control should be compatible with environmental conservation."
32,Joy,NO,NA,"Kyung-Ho Roh, Robert M. Nerem, Krishnendu Roy",biomanufacturing of therapeutic cells: state of the art current challenges and future perspectives,2016,Annual Review of Chemical and Biomolecular Engineering,Annual Reviews,"Stem cells and other functionally defined therapeutic cells (e.g., T cells) are promising to bring hope of a permanent cure for diseases and disorders that currently cannot be cured by conventional drugs or biological molecules. This paradigm shift in modern medicine of using cells as novel therapeutics can be realized only if suitable manufacturing technologies for large-scale, cost-effective, reproducible production of high-quality cells can be developed. Here we review the state of the art in therapeutic cell manufacturing, including cell purification and isolation, activation and differentiation, genetic modification, expansion, packaging, and preservation. We identify current challenges and discuss opportunities to overcome them such that cell therapies become highly effective, safe, and predictively reproducible while at the same time becoming affordable and widely available."
33,Joy,YES,NO,"David Safronetz, Heinz Feldmann, Emmie de Wit",birth and pathogenesis of rogue respiratory viruses,2015,Annual Review of Pathology: Mechanisms of Disease,Annual Reviews,"Emerging infectious diseases of zoonotic origin are shaping today's infectious disease field more than ever. In this article, we introduce and review three emerging zoonotic viruses. Novel hantaviruses emerged in the Americas in the mid-1990s as the cause of severe respiratory infections, designated hantavirus pulmonary syndrome, with case fatality rates of around 40%. Nipah virus emerged a few years later, causing respiratory infections and encephalitis in Southeast Asia, with case fatality rates ranging from 40% to more than 90%. A new coronavirus emerged in 2012 on the Arabian Peninsula with a clinical syndrome of acute respiratory infections, later designated as Middle East respiratory syndrome (MERS), and an initial case fatality rate of more than 40%. Our current state of knowledge on the pathogenicity of these three severe, emerging viral infections is discussed."
34,Joy,NO,NA,"Mariana X. Byndloss, Renee M. Tsolis",brucella spp virulence factors and immunity,2016,Annual Review of Animal Biosciences,Annual Reviews,"Brucellosis, caused by bacteria of the genus Brucella, is an important zoonotic infection that causes reproductive disease in domestic animals and chronic debilitating disease in humans. An intriguing aspect of Brucella infection is the ability of these bacteria to evade the host immune response, leading to pathogen persistence. Conversely, in the reproductive tract of infected animals, this stealthy pathogen is able to cause an acute severe inflammatory response. In this review, we discuss the different mechanisms used by Brucella to cause disease, with emphasis on its virulence factors and the dichotomy between chronic persistence and reproductive disease."
35,Cecilia,NO,NA,"R. Martin Roop II, Jason M. Gee, Gregory T. Robertson, John M. Richardson, Wai-Leung Ng, Malcolm E. Winkler",brucella stationary-phase gene expression and virulence,2003,Annual Review of Microbiology,Annual Reviews,"The capacity of the Brucella spp. to establish and maintain long-term residence in the phagosomal compartment of host macrophages is critical to their ability to produce chronic infections in their mammalian hosts. The RNA binding protein host factor I (HF-I) encoded by the hfq gene is required for the efficient translation of the stationary-phase ? factor RpoS in many bacteria, and a Brucella abortus hfq mutant displays a phenotype in vitro, which suggests that it has a generalized defect in stationary-phase physiology. The inability of the B. abortus hfq mutant to survive and replicate in a wild-type manner in cultured murine macrophages, and the profound attenuation displayed by this strain and its B. melitensis counterpart in experimentally infected animals indicate that stationary-phase physiology plays an essential role in the capacity of the brucellae to establish and maintain long-term intracellular residence in host macrophages. The nature of the Brucella HF-I-regulated genes that have been identified to date suggests that the corresponding gene products contribute to the remarkable capacity of the brucellae to resist the harsh environmental conditions they encounter during their prolonged residence in the phagosomal compartment."
