Timestamp,Hypothesis or gap?,Paper ID,Text from paper,Agriculture & Food Industry Changes,Climate & Weather,Human demographics and behavior,Population & Community Ecology,International Travel & Commerce (non-food),Socio-political environment,Hosts,Pathogens,Land Use Changes,Sentence Summary
6/6/2018 11:01,Hypothesis,5,"The global spread of infectious agents by vectors is affected by natural factors such as movement of vectors by wind, carriage on transport hosts like migrating birds, and by means of transportation (e.g. flying, walking)",,,,,,,(changes in) abundance and distribution,vector transmission,,
6/6/2018 11:03,Hypothesis,5,"Incorrect global and governmental management is associated with the emergence and re-emergence of diseases. This includes an imbalanced distribution of resources, lack of sound public health policy, emphasis on emergency response rather than prevention, and shortage of experts trained to respond effectively to emerging and re-emerging infections",,,,,,"(changes in) governance & politics, (changes in) sanitation and public health infrastructure",,,,
6/8/2018 19:41,Hypothesis,6,"The most notable manifestations have been the increasing climatic conditions initiated by changes in sea surface temperatures in the Pacific, known as the El Niño Southern Oscillation. In the summer of 1990, an El Niño event occurred, which in turn led to a period of prolonged drought in many regions of the Americas and the emergence of hantavirus pulmonary syndrome. Conversely, a sudden reversal in sea temperature in the summer of 1995 resulted in heavy rainfalls, especially in Columbia, resulting in resurgence of mosquito-borne diseases such as dengue and equine encephalitis.",,"El Niño Southern Oscillation (ENSO), (changes in) precipitation, (changes in) temperature",,,,,,"virus, vector transmission",,
6/8/2018 19:43,Hypothesis,6,"Vector-borne diseases are judged as highly sensitive to climatic conditions, although the evidence for climatic change and altered epidemiology of vector-borne disease is generally regarded as particularly sensitive to temperature. Even a small extension of a transmission season may have a disproportionate affect as transmission rates rise exponentially rather than linearly as the season progresses. ",,"(changes in) temperature, (changes in) seasons and seasonality",,,,,,"virus, vector transmission",,
6/8/2018 19:45,Hypothesis,6,"Climatic change can also bring about altered vector distributions if suitable areas for expansion become newly available. Again, the effect may be disproportionate, particularly if the vector transmits disease to human or animal populations without pre-existing levels of acquired immunity with the result that those clinical cases are more numerous and potentially more severe. Increased temperatures and seasonal fluctuations in either rainfall or temperature favor the spread of vector-borne diseases to higher elevations and to more temperate latitudes.",,"global warming, (changes in) precipitation, (changes in) temperature, (changes in) seasons and seasonality",,,,,(changes in) abundance and distribution,"virus, vector transmission",,
6/8/2018 19:50,Hypothesis,6,"The relentless change inflicted by humans on habitats in the name of progress has also had a marked effect on rodent habitats. Outbreaks of Bolivian hemorrhagic fever in Bolivia and hantavirus pulmonary syndrome in the United States have been clearly associated with abnormal periods of drought or rainfall, leading to unusually rapid increases in rodent numbers. Of all species of mammals, rodents are among the most adaptable to comparatively sudden changes in climate and environmental conditions. Small climatic changes can bring about considerable fluctuations in population size, inhabiting desert and semidesert areas, particularly in food quantity and quality. ",,"extreme climate events, (changes in) precipitation, (changes in) temperature, (changes in) seasons and seasonality",,(changes in) community composition,,,"rodent, (changes in) abundance and distribution, (changes in) life history, reservoir competence",virus,,
6/8/2018 19:51,Hypothesis,6,"Deforestation has accelerated exponentially since the beginning of the twentieth Century and in the Amazonian basin and parts of Southeast Asia has had a profound effect on local ecosystems, particularly by constraining the range of natural predators instrumental in keeping rodents, insects and other potential carriers of infectious disease under control.9 The reduction in biological diversity can trigger the invasion and spread of opportunistic species, heralding the emergence of disease through increased contact with local human populations.",,,,"(changes in) biodiversity, (changes in) community composition, (changes in) interspecies contact",,,"(changes in) abundance and distribution, reservoir competence",,deforestation,dilution effect
6/8/2018 19:52,Hypothesis,6,Air travel represents a major risk factor for the global spread of a new infectious agent. It is estimated that over 100 million passenger journeys by air are made every year. It is feasible to visit as many as three continents in a few hours. This is in marked contrast to just 50 years ago when many people rarely if ever traveled any distance from their place of residence. Frequent air travel is now regarded as a major contributing factor to the spread of emerging diseases. ,,,(changes in) human density and distribution,,"(changes in) global transportation, tourism and travel",,,,,
6/8/2018 19:54,Hypothesis,6,"It is not only humans that travel: the International Air Transport Association estimate that around 80 000 wild-caught animals are air freighted each year, many being placed in holding facilities close to populated areas whilst in transit. Even mosquitoes may be carried. It is thought that West Nile virus (WNV) entered the United States as a result of an infected mosquito surviving the air journey from the Middle East to New York City in 1999.",,,,(changes in) geographic overlap,(changes in) animal trade and transport,,(changes in) abundance and distribution,,,
6/8/2018 19:55,Hypothesis,6,"The advent of agriculture around 10 000 years ago was pivotal in giving rise to many of the infections we know today. Agricultural-based societies led to humans living in close proximity both to each other and to livestock. In turn, human settlements provided fertile ground for interspecies transmission between farm animals, rodents, dogs, cats and insects. ","(changes in) agriculture, (changes in) livestock densities and distribution, (changes in) agriculture",,(changes in) human density and distribution,"(changes in) community composition, (changes in) geographic overlap, (changes in) interspecies contact",,,,,,
6/8/2018 19:57,Hypothesis,6,"Among all species of mammals, members of the family Muridae have been the most successful and are found in almost all habitats. This family has species that are the natural hosts of almost all arenaviruses and hantaviruses. As noted above, rodents are highly susceptible to climate and ecological change, resulting in variable population numbers. ",,"extreme climate events, global warming, (changes in) precipitation, (changes in) temperature, (changes in) seasons and seasonality",,,,,"rodent, (changes in) abundance and distribution, reservoir competence",virus,,
6/8/2018 20:00,Hypothesis,6,"Among the fastest reproducing mammals, field voles can have over 15 broods per year, each with an average of six pups. This in turn considerably increases the risk of human exposure to any pathogens they may carry as well as stimulating such pathogens to undergo mutational adaptations to the changing ecosystems. ",,,,,,,"rodent, (changes in) abundance and distribution, (changes in) life history, reservoir competence","virus, adaptation and evolution",,
6/8/2018 20:31,Hypothesis,6,"Rodents thrive on contaminated food and water, and are excellent swimmers. That rodents constitute an important part of the Earth’s biomass is manifested by estimates of rodents consuming at least a fifth of the world’s output of grain.",,,,,,,"rodent, (changes in) foraging behaviour, reservoir competence",virus,,
6/10/2018 15:21,Hypothesis,6,"There is a tight relationship between virus and its native rodent host, with each rodent species being infected with a single virus. Outbreaks of human disease are thus intimately related to the geographical distribution of the host reservoir.",,,,(changes in) geographic overlap,,,"rodent, (changes in) abundance and distribution",virus,,
6/10/2018 15:46,Hypothesis,6,"Abnormal weather patterns and increased rainfall results in a dramatic increase in the vegetation providing food for rodents. Thus the environment is able to suddenly sustain a rapidly expanding number of animals. As population sizes explode, the chances of rodents encroaching into peridomestic areas and households also increases, especially when the over abundance of food comes to an end. As a consequence there is a rise in the incidence of human illness as individuals have a much greater chance of coming into contact with excreta from persistently infected animals.",,(changes in) precipitation,,(changes in) interspecies contact,,,"rodent, (changes in) abundance and distribution, (changes in) foraging behaviour",virus,,
6/10/2018 15:47,Hypothesis,6,The chance of virus switching into other rodent species also becomes a greater possibility as rodent territories expand and overlap.,,,,"(changes in) community composition, (changes in) geographic overlap, (changes in) interspecies contact",,,"rodent, (changes in) abundance and distribution","virus, host switching and breadth (generalism/specialism)",,
