Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Influenza type A in humans, mammals and birds: determinants of virus virulence, host-range and interspecies transmission.",/pubmed/12815721,"Baigent SJ, McCauley JW.",Bioessays. 2003 Jul;25(7):657-71. Review.,Bioessays.  2003,PubMed,citation,PMID:12815721,pubmed,12815721,create date:2003/06/20 | first author:Baigent SJ
Bioterrorism and infectious animal diseases.,/pubmed/12818627,"Blancou J, Pearson JE.",Comp Immunol Microbiol Infect Dis. 2003 Oct;26(5-6):431-43. Review.,Comp Immunol Microbiol Infect Dis.  2003,PubMed,citation,PMID:12818627,pubmed,12818627,create date:2003/06/24 | first author:Blancou J
Fungal diseases of rabbits.,/pubmed/12827731,"Canny CJ, Gamble CS.","Vet Clin North Am Exot Anim Pract. 2003 May;6(2):429-33, viii. Review.",Vet Clin North Am Exot Anim Pract.  2003,PubMed,citation,PMID:12827731,pubmed,12827731,create date:2003/06/28 | first author:Canny CJ
Fungal diseases in small mammals: therapeutic trends and zoonotic considerations.,/pubmed/12827730,Marshall KL.,Vet Clin North Am Exot Anim Pract. 2003 May;6(2):415-27. Review.,Vet Clin North Am Exot Anim Pract.  2003,PubMed,citation,PMID:12827730,pubmed,12827730,create date:2003/06/28 | first author:Marshall KL
Fungal diseases of columbiformes and anseriformes.,/pubmed/12827727,Pollock C.,Vet Clin North Am Exot Anim Pract. 2003 May;6(2):351-61. Review.,Vet Clin North Am Exot Anim Pract.  2003,PubMed,citation,PMID:12827727,pubmed,12827727,create date:2003/06/28 | first author:Pollock C
Fungal diseases of laboratory rodents.,/pubmed/12827729,Pollock C.,Vet Clin North Am Exot Anim Pract. 2003 May;6(2):401-13. Review.,Vet Clin North Am Exot Anim Pract.  2003,PubMed,citation,PMID:12827729,pubmed,12827729,create date:2003/06/28 | first author:Pollock C
ADSA Foundation Scholar Award--An integrated science-based approach to dairy food safety: Listeria monocytogenes as a model system.,/pubmed/12836921,Wiedmann M; ADSA Foundation..,J Dairy Sci. 2003 Jun;86(6):1865-75. Review.,J Dairy Sci.  2003,PubMed,citation,PMID:12836921,pubmed,12836921,create date:2003/07/03 | first author:Wiedmann M
Echinococcus granulosus infection: the challenge of surgical treatment.,/pubmed/12845535,"Buttenschoen K, Carli Buttenschoen D.",Langenbecks Arch Surg. 2003 Sep;388(4):218-30. Epub 2003 Jul 4. Review.,Langenbecks Arch Surg.  2003,PubMed,citation,PMID:12845535,pubmed,12845535,create date:2003/07/08 | first author:Buttenschoen K
Newer viral encephalitides.,/pubmed/12864929,McCarthy M.,Neurologist. 2003 Jul;9(4):189-99. Review.,Neurologist.  2003,PubMed,citation,PMID:12864929,pubmed,12864929,create date:2003/07/17 | first author:McCarthy M
Recent origins among ancient parasites.,/pubmed/12878422,David Sibley L.,Vet Parasitol. 2003 Jul 25;115(2):185-98. Review.,Vet Parasitol.  2003,PubMed,citation,PMID:12878422,pubmed,12878422,create date:2003/07/25 | first author:David Sibley L
"Canine distemper, a re-emerging morbillivirus with complex neuropathogenic mechanisms.",/pubmed/12885204,"Griot C, Vandevelde M, Schobesberger M, Zurbriggen A.",Anim Health Res Rev. 2003 Jun;4(1):1-10. Review.,Anim Health Res Rev.  2003,PubMed,citation,PMID:12885204,pubmed,12885204,create date:2003/07/30 | first author:Griot C
Cryptosporidium and host resistance: historical perspective and some novel approaches.,/pubmed/12885209,Harp JA.,Anim Health Res Rev. 2003 Jun;4(1):53-62. Review.,Anim Health Res Rev.  2003,PubMed,citation,PMID:12885209,pubmed,12885209,create date:2003/07/30 | first author:Harp JA
"A short review of transmissible spongiform encephalopathies, and guidelines for managing risks associated with chronic wasting disease in captive cervids in zoos.",/pubmed/12885128,"Travis D, Miller M.",J Zoo Wildl Med. 2003 Jun;34(2):125-33. Review.,J Zoo Wildl Med.  2003,PubMed,citation,PMID:12885128,pubmed,12885128,create date:2003/07/30 | first author:Travis D
Human infection with foamy viruses.,/pubmed/12908773,"Heneine W, Schweizer M, Sandstrom P, Folks T.",Curr Top Microbiol Immunol. 2003;277:181-96. Review.,Curr Top Microbiol Immunol.  2003,PubMed,citation,PMID:12908773,pubmed,12908773,create date:2003/08/12 | first author:Heneine W
Leptospirosis. A re-emerging zoonotic disease.,/pubmed/12910744,"Langston CE, Heuter KJ.",Vet Clin North Am Small Anim Pract. 2003 Jul;33(4):791-807. Review.,Vet Clin North Am Small Anim Pract.  2003,PubMed,citation,PMID:12910744,pubmed,12910744,create date:2003/08/13 | first author:Langston CE
Canine visceral leishmaniasis and its emergence in the United States.,/pubmed/12910750,"Rosypal AC, Zajac AM, Lindsay DS.","Vet Clin North Am Small Anim Pract. 2003 Jul;33(4):921-37, viii. Review.",Vet Clin North Am Small Anim Pract.  2003,PubMed,citation,PMID:12910750,pubmed,12910750,create date:2003/08/13 | first author:Rosypal AC
Xenotransplantation: public health risks--patient vs. society in an emerging field.,/pubmed/12934940,Chapman LE.,Curr Top Microbiol Immunol. 2003;278:23-45. Review.,Curr Top Microbiol Immunol.  2003,PubMed,citation,PMID:12934940,pubmed,12934940,create date:2003/08/26 | first author:Chapman LE
Nonhuman primate herpesviruses: importance for xenotransplantation.,/pubmed/12934942,Michaels MG.,Curr Top Microbiol Immunol. 2003;278:73-100. Review.,Curr Top Microbiol Immunol.  2003,PubMed,citation,PMID:12934942,pubmed,12934942,create date:2003/08/26 | first author:Michaels MG
Cross-species infections.,/pubmed/12934941,Weiss RA.,Curr Top Microbiol Immunol. 2003;278:47-71. Review.,Curr Top Microbiol Immunol.  2003,PubMed,citation,PMID:12934941,pubmed,12934941,create date:2003/08/26 | first author:Weiss RA
Preventive and therapeutic approaches to viral agents of bioterrorism.,/pubmed/12944096,"Bronze MS, Greenfield RA.",Drug Discov Today. 2003 Aug 15;8(16):740-5. Review.,Drug Discov Today.  2003,PubMed,citation,PMID:12944096,pubmed,12944096,create date:2003/08/29 | first author:Bronze MS
Parasites and biosecurity--the example of Australia.,/pubmed/12957518,"Andrew Thompson RC, Owen IL, Puana I, Banks D, Davis TM, Reid SA.",Trends Parasitol. 2003 Sep;19(9):410-6. Review.,Trends Parasitol.  2003,PubMed,citation,PMID:12957518,pubmed,12957518,create date:2003/09/06 | first author:Andrew Thompson RC
The food-borne trematode zoonoses of Vietnam.,/pubmed/12971505,"De NV, Murrell KD, Cong le D, Cam PD, Chau le V, Toan ND, Dalsgaard A.",Southeast Asian J Trop Med Public Health. 2003;34 Suppl 1:12-34. Review.,Southeast Asian J Trop Med Public Health.  2003,PubMed,citation,PMID:12971505,pubmed,12971505,create date:2003/09/16 | first author:De NV
Current status of cysticercosis in Vietnam.,/pubmed/12971506,"Willingham AL 3rd, De NV, Doanh NQ, Cong le D, Dung TV, Dorny P, Cam PD, Dalsgaard A.",Southeast Asian J Trop Med Public Health. 2003;34 Suppl 1:35-50. Review.,Southeast Asian J Trop Med Public Health.  2003,PubMed,citation,PMID:12971506,pubmed,12971506,create date:2003/09/16 | first author:Willingham AL 3rd
"Epidemiology, clinical manifestations and diagnosis of zoonotic cestode infections: an update.",/pubmed/13680371,"Raether W, Hänel H.",Parasitol Res. 2003 Nov;91(5):412-38. Epub 2003 Sep 16. Review.,Parasitol Res.  2003,PubMed,citation,PMID:13680371,pubmed,13680371,create date:2003/09/19 | first author:Raether W
Echinococcus multilocularis.,/pubmed/14501996,Craig P.,Curr Opin Infect Dis. 2003 Oct;16(5):437-44. Review.,Curr Opin Infect Dis.  2003,PubMed,citation,PMID:14501996,pubmed,14501996,create date:2003/09/23 | first author:Craig P
Leptospirosis in India and the rest of the world.,/pubmed/14499041,"Sambasiva RR, Naveen G, P B, Agarwal SK.",Braz J Infect Dis. 2003 Jun;7(3):178-93. Review.,Braz J Infect Dis.  2003,PubMed,citation,PMID:14499041,pubmed,14499041,create date:2003/09/23 | first author:Sambasiva RR
Subclinical prion infection in humans and animals.,/pubmed/14522857,"Hill AF, Collinge J.",Br Med Bull. 2003;66:161-70. Review.,Br Med Bull.  2003,PubMed,citation,PMID:14522857,pubmed,14522857,create date:2003/10/03 | first author:Hill AF
Diagnosis of prion diseases.,/pubmed/14522864,"Kübler E, Oesch B, Raeber AJ.",Br Med Bull. 2003;66:267-79. Review.,Br Med Bull.  2003,PubMed,citation,PMID:14522864,pubmed,14522864,create date:2003/10/03 | first author:Kübler E
Bovine spongiform encephalopathy (BSE) and its epidemiology.,/pubmed/14522859,"Smith PG, Bradley R.",Br Med Bull. 2003;66:185-98. Review.,Br Med Bull.  2003,PubMed,citation,PMID:14522859,pubmed,14522859,create date:2003/10/03 | first author:Smith PG
Preventing accidental transmission of human transmissible spongifom encephalopathies.,/pubmed/14522866,Taylor DM.,Br Med Bull. 2003;66:293-303. Review.,Br Med Bull.  2003,PubMed,citation,PMID:14522866,pubmed,14522866,create date:2003/10/03 | first author:Taylor DM
"Acquired prion disease: iatrogenic CJD, variant CJD, kuru.",/pubmed/14522863,Will RG.,Br Med Bull. 2003;66:255-65. Review.,Br Med Bull.  2003,PubMed,citation,PMID:14522863,pubmed,14522863,create date:2003/10/03 | first author:Will RG
Clinical and mycological status of the Trichophyton mentagrophytes (interdigitale) syndrome of chronic dermatophytosis of the skin and nails.,/pubmed/14521690,"Zaias N, Rebell G.",Int J Dermatol. 2003 Oct;42(10):779-88. Review.,Int J Dermatol.  2003,PubMed,citation,PMID:14521690,pubmed,14521690,create date:2003/10/03 | first author:Zaias N
Aquaculture and disease control in Italy.,/pubmed/14535453,Enright W; European Association for Animal Production..,Vet Res Commun. 2003 Sep;27 Suppl 1:469. Review. No abstract available. ,Vet Res Commun.  2003,PubMed,citation,PMID:14535453,pubmed,14535453,create date:2003/10/11 | first author:Enright W
Laboratory-based diagnosis of brucellosis--a review of the literature. Part I: Techniques for direct detection and identification of Brucella spp.,/pubmed/14572205,"Al Dahouk S, Tomaso H, Nöckler K, Neubauer H, Frangoulidis D.",Clin Lab. 2003;49(9-10):487-505. Review.,Clin Lab.  2003,PubMed,citation,PMID:14572205,pubmed,14572205,create date:2003/10/24 | first author:Al Dahouk S
Echinococcosis.,/pubmed/14575976,"McManus DP, Zhang W, Li J, Bartley PB.",Lancet. 2003 Oct 18;362(9392):1295-304. Review.,Lancet.  2003,PubMed,citation,PMID:14575976,pubmed,14575976,create date:2003/10/25 | first author:McManus DP
Sporotrichosis.,/pubmed/14584741,Welsh RD.,J Am Vet Med Assoc. 2003 Oct 15;223(8):1123-6. Review. No abstract available. ,J Am Vet Med Assoc.  2003,PubMed,citation,PMID:14584741,pubmed,14584741,create date:2003/10/31 | first author:Welsh RD
Interactions between tsetse and trypanosomes with implications for the control of trypanosomiasis.,/pubmed/14587696,"Aksoy S, Gibson WC, Lehane MJ.",Adv Parasitol. 2003;53:1-83. Review.,Adv Parasitol.  2003,PubMed,citation,PMID:14587696,pubmed,14587696,create date:2003/11/01 | first author:Aksoy S
Lyme borreliosis.,/pubmed/14621212,"Fritz CL, Kjemtrup AM.",J Am Vet Med Assoc. 2003 Nov 1;223(9):1261-70. Review.,J Am Vet Med Assoc.  2003,PubMed,citation,PMID:14621212,pubmed,14621212,create date:2003/11/19 | first author:Fritz CL
T cell immunity to brucellosis.,/pubmed/14636042,"Yingst S, Hoover DL.",Crit Rev Microbiol. 2003;29(4):313-31. Review.,Crit Rev Microbiol.  2003,PubMed,citation,PMID:14636042,pubmed,14636042,create date:2003/11/26 | first author:Yingst S
Laboratory-based diagnosis of brucellosis--a review of the literature. Part II: serological tests for brucellosis.,/pubmed/14651329,"Al Dahouk S, Tomaso H, Nöckler K, Neubauer H, Frangoulidis D.",Clin Lab. 2003;49(11-12):577-89. Review.,Clin Lab.  2003,PubMed,citation,PMID:14651329,pubmed,14651329,create date:2003/12/04 | first author:Al Dahouk S
Leptospirosis: a zoonotic disease of global importance.,/pubmed/14652202,"Bharti AR, Nally JE, Ricaldi JN, Matthias MA, Diaz MM, Lovett MA, Levett PN, Gilman RH, Willig MR, Gotuzzo E, Vinetz JM; Peru-United States Leptospirosis Consortium..",Lancet Infect Dis. 2003 Dec;3(12):757-71. Review.,Lancet Infect Dis.  2003,PubMed,citation,PMID:14652202,pubmed,14652202,create date:2003/12/04 | first author:Bharti AR
Leishmania/HIV co-infections: epidemiology in Europe.,/pubmed/14678629,"Desjeux P, Alvar J.",Ann Trop Med Parasitol. 2003 Oct;97 Suppl 1:3-15. Review.,Ann Trop Med Parasitol.  2003,PubMed,citation,PMID:14678629,pubmed,14678629,create date:2003/12/18 | first author:Desjeux P
Ehrlichiosis and related infections.,/pubmed/14690204,"McQuiston JH, McCall CL, Nicholson WL.",J Am Vet Med Assoc. 2003 Dec 15;223(12):1750-6. Review. No abstract available. ,J Am Vet Med Assoc.  2003,PubMed,citation,PMID:14690204,pubmed,14690204,create date:2003/12/24 | first author:McQuiston JH
Human monkeypox: an emerging zoonosis.,/pubmed/14720564,"Di Giulio DB, Eckburg PB.",Lancet Infect Dis. 2004 Jan;4(1):15-25. Review. Erratum in: Lancet Infect Dis. 2004 Apr;4(4):251. ,Lancet Infect Dis.  2004,PubMed,citation,PMID:14720564,pubmed,14720564,create date:2004/01/15 | first author:Di Giulio DB
"Biological, epidemiological, and clinical aspects of echinococcosis, a zoonosis of increasing concern.",/pubmed/14726458,"Eckert J, Deplazes P.",Clin Microbiol Rev. 2004 Jan;17(1):107-35. Review.,Clin Microbiol Rev.  2004,PubMed,citation,PMID:14726458 | PMCID:PMC321468,pubmed,14726458,create date:2004/01/17 | first author:Eckert J
Vector-borne diseases in humans and animals: activities of the Swiss Tropical Institute and risks for Switzerland.,/pubmed/14725182,"Zinsstag J, Schelling E.","Schweiz Arch Tierheilkd. 2003 Dec;145(12):559-66, 568-9. Review.",Schweiz Arch Tierheilkd.  2003,PubMed,citation,PMID:14725182,pubmed,14725182,create date:2004/01/17 | first author:Zinsstag J
Zoonoses of occupational health importance in contemporary laboratory animal research.,/pubmed/14727806,"Hankenson FC, Johnston NA, Weigler BJ, Di Giacomo RF.",Comp Med. 2003 Dec;53(6):579-601. Review.,Comp Med.  2003,PubMed,citation,PMID:14727806,pubmed,14727806,create date:2004/01/20 | first author:Hankenson FC
Specificity and performance of PCR detection assays for microbial pathogens.,/pubmed/14734824,Sachse K.,Mol Biotechnol. 2004 Jan;26(1):61-80. Review.,Mol Biotechnol.  2004,PubMed,citation,PMID:14734824,pubmed,14734824,create date:2004/01/22 | first author:Sachse K
Reflections on the clinical and epidemiological studies presented at the IX International Conference on Lyme Borreliosis and Other Tick-Borne Diseases and future directions.,/pubmed/14733675,Stanek G.,Vector Borne Zoonotic Dis. 2003 Winter;3(4):229-47. Review. No abstract available. ,Vector Borne Zoonotic Dis.  2003,PubMed,citation,PMID:14733675,pubmed,14733675,create date:2004/01/22 | first author:Stanek G
Diagnosis of lyme borreliosis in europe.,/pubmed/14733674,Wilske B.,Vector Borne Zoonotic Dis. 2003 Winter;3(4):215-27. Review.,Vector Borne Zoonotic Dis.  2003,PubMed,citation,PMID:14733674,pubmed,14733674,create date:2004/01/22 | first author:Wilske B
Wilderness in the city: the urbanization of Echinococcus multilocularis.,/pubmed/14747021,"Deplazes P, Hegglin D, Gloor S, Romig T.",Trends Parasitol. 2004 Feb;20(2):77-84. Review.,Trends Parasitol.  2004,PubMed,citation,PMID:14747021,pubmed,14747021,create date:2004/01/30 | first author:Deplazes P
Allergic reactions to Japanese encephalitis vaccine.,/pubmed/14753386,Plesner AM.,Immunol Allergy Clin North Am. 2003 Nov;23(4):665-97. Review. Erratum in: Immunol Allergy Clin North Am. 2004 May;24(2):335. ,Immunol Allergy Clin North Am.  2003,PubMed,citation,PMID:14753386,pubmed,14753386,create date:2004/02/03 | first author:Plesner AM
"The history of SIVS and AIDS: epidemiology, phylogeny and biology of isolates from naturally SIV infected non-human primates (NHP) in Africa.",/pubmed/14766362,"Apetrei C, Robertson DL, Marx PA.",Front Biosci. 2004 Jan 1;9:225-54. Review.,Front Biosci.  2004,PubMed,citation,PMID:14766362,pubmed,14766362,create date:2004/02/10 | first author:Apetrei C
Brucellosis and international travel.,/pubmed/14769288,"Memish ZA, Balkhy HH.",J Travel Med. 2004 Jan-Feb;11(1):49-55. Review.,J Travel Med.  2004,PubMed,citation,PMID:14769288,pubmed,14769288,create date:2004/02/11 | first author:Memish ZA
Leishmania tropica (Kinetoplastida: Trypanosomatidae)--a perplexing parasite.,/pubmed/14971592,Jacobson RL.,Folia Parasitol (Praha). 2003 Dec;50(4):241-50. Review.,Folia Parasitol (Praha).  2003,PubMed,citation,PMID:14971592,pubmed,14971592,create date:2004/02/20 | first author:Jacobson RL
A method of accelerated eradication of bovine brucellosis in the Czech Republic.,/pubmed/15005556,Kouba V.,Rev Sci Tech. 2003 Dec;22(3):1003-12. Review.,Rev Sci Tech.  2003,PubMed,citation,PMID:15005556,pubmed,15005556,create date:2004/03/10 | first author:Kouba V
