"authors","title","year","journal","search","abstract"
"Wijaszka, T; Truszczynski, M","60 years of the national veterinary research institute in pulawy poland","2005","MEDYCYNA WETERYNARYJNA","Web of Science","The article presents the legislative basis for the establishment of the Institute on June 6, 1945, as well as its organization and terms of reference. It discusses the achievements of the Institute in general terms up until 1995, and in more detail concerning the last 10 years. The results of the Institute's work have had immense practical value for the monitoring and control of infectious diseases of animals in Poland, including zoonotic agents. One of the broadest spheres of its activity has been research into the safety problems of food of animal origin from the point of view of hygiene, microbiology and toxicity as well as implementing this knowledge for practical use, including regional diagnostic laboratories. Close cooperation has taken place with the World Organization for Animal Health (OIE), Food and Agricultural Organization (FAO) and, in particular, with the European Union (EU). The Institute has adapted relevant regulations concerning accreditation of diagnostic procedures and tests as well as organizing reference laboratories cooperating with the correspondent laboratories of the EU and OIE. Reconstruction and extension by 1.5 times of its buildings began in 2004. New equipment was purchased comparable to the level of prominent veterinary laboratories of Western European countries. The scientific staff has undergone programs of continuous education in leading veterinary and biomedical laboratories of the world. The Institute currently offers expertise services to the staff of the Chief Veterinary Officer and to regional veterinary laboratories."
"Kahn, RE; Morozov, I; Feldmann, H; Richt, JA","6th international conference on emerging zoonoses","2012","ZOONOSES AND PUBLIC HEALTH","Web of Science","The 6th International Conference on Emerging Zoonoses, held at Cancun, Mexico, 2427 February 2011, offered 84 participants from 18 countries, a snapshot of current research in numerous zoonoses caused by viruses, bacteria or prions. Co-chaired by Professors Heinz Feldmann and Jurgen Richt, the conference explored 10 topics: (i) The ecology of emerging zoonotic diseases; (ii) The role of wildlife in emerging zoonoses; (iii) Cross-species transmission of zoonotic pathogens; (iv) Emerging and neglected influenza viruses; (v) Haemorrhagic fever viruses; (vi) Emerging bacterial diseases; (vii) Outbreak responses to zoonotic diseases; (viii) Food-borne zoonotic diseases; (ix) Prion diseases; and (x) Modelling and prediction of emergence of zoonoses. Human medicine, veterinary medicine and environmental challenges are viewed as a unity, which must be considered under the umbrella of One Health. Several presentations attempted to integrate the insights gained from field data with mathematical models in the search for effective control measures of specific zoonoses. The overriding objective of the research presentations was to create, improve and use the tools essential to address the risk of contagions in a globalized society. In seeking to fulfil this objective, a three-step approach has often been applied: (i) use cultured cells, model and natural animal hosts and human clinical models to study infection; (ii) combine traditional histopathological and biochemical approaches with functional genomics, proteomics and computational biology; and (iii) obtain signatures of virulence and insights into mechanisms of host defense response, immune evasion and pathogenesis. This meeting review summarizes 39 of the conference presentations and mentions briefly the 16 articles in this Special Supplement, most of which were presented at the conference in earlier versions. The full affiliations of all presenters and many colleagues have been included to facilitate further inquiries from readers."
"Dhama, K; Malik, YS; Malik, SVS; Singh, RK","7 ebola from emergence to epidemic: the virus and the disease global preparedness and perspectives","2015","JOURNAL OF INFECTION IN DEVELOPING COUNTRIES","Web of Science","Humans constantly encounter threats from many infectious, zoonotic, and devastating pathogens. Outbreaks of severe acute respiratory syndrome (SARS), bird flu, and swine flu posing pandemic threats have compelled health agencies to follow global preparedness for combating the emerging deadly pathogens. The outbreak in West Africa of highly contagious Ebola viral disease (EVD) that started in Guinea in December 2013, assumed global proportions to become the largest outbreak of EVD and the most prominent international health concern. With fatality rates of nearly 50%-90%, it has claimed, as of 11 April 2015, 10,619 human lives out of a total of 25,626 cases reported worldwide. Ebola virus (EBOV), a member of Filoviridae family, is associated with severe, often lethal, hemorrhagic fever disease in humans and animals. The animal hosts, including non-human primates and reservoir hosts (fruit bats), play a significant role in transmission and maintenance of EBOV in nature. Although no approved vaccine for the prevention of EVD currently exists, disease control can be greatly enhanced by timely laboratory confirmation through blood tests using enzyme-linked immunosorbent assay (ELISA) and reverse transcription polymerase chain reaction (RT-PCR). Adherence to strict sanitary and hygienic measures, monitoring and surveillance of EBOV, as well as quarantine checks on international trade, transport, and visitors from affected countries are mandatory to prevent and control the spread of EVD. This review describes the salient properties of EBOV and the development of novel diagnostics, vaccines, and control strategies for this emerging disease of high public health concern and international emergency."
"Gormley FJ, Little CL, Rawal N, Gillespie IA, Lebaigue S, Adak GK.","a 17-year review of foodborne outbreaks: describing the continuing decline in england and wales (1992-2008)","2011","Epidemiol Infect.","PubMed",NA
"Innes EA.","a brief history and overview of toxoplasma gondii","2010","Zoonoses Public Health.","PubMed",NA
"West, A","a brief review of chlamydophila psittaci in birds and humans","2011","JOURNAL OF EXOTIC PET MEDICINE","Web of Science","The following article is a brief review of Chlamydophila psittaci infection in birds (avian chlamydiosis) and humans (psittacosis). Chlamydophila psittaci is an intracellular, Gram-negative, coccoid bacterium that is a reportable zoonotic disease in many countries. Symptoms in humans diagnosed with psittacosis include fever, chills, headache, malaise, and myalgia. Clinical signs in infected birds are often vague but include lethargy, diarrhea, and emaciation. Chlamydophila psittaci is shed in the feces and nasal/ocular discharge. The treatment of choice for humans and birds infected with C. psittaci is doxycycline. People who have the highest risk for exposure and subsequent infection include employees of pet shops and poultry farms, veterinarians, veterinary technicians, and pet owners. Prevention and control methods include quarantine of new birds for 30 days, routine testing of new bird purchases, proper hygiene (e.g., hand washing), and good husbandry practices. Copyright 2011 Elsevier Inc. All rights reserved."
"Shao D, Shi Z, Wei J, Ma Z.","a brief review of foodborne zoonoses in china","2011","Epidemiol Infect.","PubMed",NA
"Parmley, EJ; Pintar, K; Majowicz, S; Avery, B; Cook, A; Jokinen, C; Gannon, V; Lapen, DR; Topp, E; Edge, TA; Gilmour, M; Pollari, F; Reid-Smith, R; Irwin, R","a canadian application of one health: integration of salmonella data from various canadian surveillance programs (2005-2010)","2013","FOODBORNE PATHOGENS AND DISEASE","Web of Science","Most bacterial pathogens associated with human enteric illness have zoonotic origins and can be transmitted directly from animals to people or indirectly through food and water. This multitude of potential exposure routes and sources makes the epidemiology of these infectious agents complex. To better understand these illnesses and identify solutions to reduce human disease, an integrative approach like One Health is needed. This article considers the issue of Salmonella in Canada and interprets data collected by several Canadian surveillance and research programs. We describe recovery of Salmonella from various samples collected along the exposure pathway and compare the serovars detected in the different components under surveillance (animal, food, environment, and human). We then present three examples to illustrate how an approach that interprets multiple sources of surveillance data together is able to address issues that transcend multiple departments and jurisdictions. First, differences observed in recovery of Salmonella from different cuts of fresh chicken collected by different programs emphasize the importance of considering the surveillance objectives and how they may influence the information that is generated. Second, the high number of Salmonella Enteritidis cases in Canada is used to illustrate the importance of ongoing, concurrent surveillance of human cases and exposure sources to information domestic control and prevention strategies. Finally, changing patterns in the occurrence of ceftiofur-resistant Salmonella Heidelberg in retail meats and humans demonstrates how integrated surveillance can identify an issue in an exposure source and link it to a trend in human disease. Taken together, surveillance models that encompass different scales can leverage infrastructure, costs, and benefits and generate a multidimensional picture that can better inform disease prevention and control programs."
"Nickolas J. Panopoulos","a career on both sides of the atlantic: memoirs of a molecular plant pathologist","2017","Annual Review of Phytopathology","Annual Reviews","This article recounts the experiences that shaped my career as a molecular plant pathologist. It focuses primarily on technical and conceptual developments in molecular phytobacteriology, shares some personal highlights and untold stories that impacted my professional development, and describes the early years of agricultural biotechnology. Writing this article required reflection on events occurring over several decades that were punctuated by a mid-career relocation across the Atlantic. I hope it will still be useful, informative, and enjoyable to read. An extended version of the abstract is provided in the Supplemental Materials, available online."
"Cerit ET, Aydin M, Azap A.","a case of brucellar monoarthritis and review of the literature","2012","Rheumatol Int.","PubMed",NA
"Shah SZ, Hussain T, Zhao D, Yang L.","a central role for calcineurin in protein misfolding neurodegenerative diseases","2017","Cell Mol Life Sci.","PubMed",NA
"Cerqueira, GM; Picardeau, M","a century of leptospira strain typing","2009","INFECTION GENETICS AND EVOLUTION","Web of Science","Leptospirosis is a zoonotic disease with high mortality and morbidity rates in humans and animals throughout the world. Since the discovery of Leptospira, the causal agent of leptospirosis, a century ago, this spirochete has been isolated from the environment and a wide spectrum of animals and classified into serogroups and serovars as a function of antigenic determinants. Modern technology has greatly improved laboratory procedures, particularly those for the detection, identification and typing of epidemiologic strains. In this review, we describe ""classical"" serotyping methods, followed by a description of genotyping and post-genomic typing methods. (C) 2009 Elsevier B.V. All rights reserved."
"Spengler JR, Estrada-Peña A, Garrison AR, Schmaljohn C, Spiropoulou CF, Bergeron É, Bente DA.","a chronological review of experimental infection studies of the role of wild animals and livestock in the maintenance and transmission of crimean-congo hemorrhagic fever virus","2016","Antiviral Res.","PubMed",NA
"Kariwa H, Lokugamage K, Lokugamage N, Miyamoto H, Yoshii K, Nakauchi M, Yoshimatsu K, Arikawa J, Ivanov LI, Iwasaki T, Takashima I.","a comparative epidemiological study of hantavirus infection in japan and far east russia","2007","Jpn J Vet Res.","PubMed",NA
"Pintar, KDM; Thomas, KM; Christidis, T; Otten, A; Nesbitt, A; Marshall, B; Pollari, F; Hurst, M; Ravel, A","a comparative exposure assessment of campylobacter in ontario canada","2017","RISK ANALYSIS","Web of Science","To inform source attribution efforts, a comparative exposure assessment was developed to estimate the relative exposure to Campylobacter, the leading bacterial gastrointestinal disease in Canada, for 13 different transmission routes within Ontario, Canada, during the summer. Exposure was quantified with stochastic models at the population level, which incorporated measures of frequency, quantity ingested, prevalence, and concentration, using data from FoodNet Canada surveillance, the peer-reviewed and gray literature, other Ontario data, and data that were specifically collected for this study. Models were run with @Risk software using Monte Carlo simulations. The mean number of cells of Campylobacter ingested per Ontarian per day during the summer, ranked from highest to lowest is as follows: household pets, chicken, living on a farm, raw milk, visiting a farm, recreational water, beef, drinking water, pork, vegetables, seafood, petting zoos, and fruits. The study results identify knowledge gaps for some transmission routes, and indicate that some transmission routes for Campylobacter are underestimated in the current literature, such as household pets and raw milk. Many data gaps were identified for future data collection consideration, especially for the concentration of Campylobacter in all transmission routes."
"Sharma, Ravi Kant","a comparison of health insurance segment--india vs china","2011","International Journal of Research in Finance and Marketing","EconLit","The paper is based on the secondary data which have been analysed and seeks to compare the health insurance aspects of both the economies India and China because of vast potential of health insurance in these economies while 45% world's population living in this area. China and India have had a remarkable period of economic growth over the last quarter century, and as a result there have been a significant decline in mass poverty in these two large poor countries. But this impressive economic growth and decline of income poverty have not been adequately reflected in some general features in the lives of the poor, particularly in the crucial matter of health. There are some egregious 'failures' of both market and government in the sphere of health services in all countries, but they have been particularly acute in China and India, for example, present public health system in China cannot provide effective primary health care services to the population and the consequence to faces a wide range of health challenges--emerging and re-emerging infectious diseases and new non-infectious problems such as cardiovascular disease, diabetes, obesity, and cancer. Until recently, 90 percent of rural residents and 60 percent of urban residents in China did not have health insurance, the almost same situation have also exists in India. Apart from, Those who have been covered by some sort of health insurance are frequently confronted with high premiums and limited coverage in India and China despite these things China have little comparative advantage over India."
"Nauta M, Hill A, Rosenquist H, Brynestad S, Fetsch A, van der Logt P, Fazil A, Christensen B, Katsma E, Borck B, Havelaar A.","a comparison of risk assessments on campylobacter in broiler meat","2009","Int J Food Microbiol.","PubMed",NA
"Helmy YA, El-Adawy H, Abdelwhab EM.","a comprehensive review of common bacterial parasitic and viral zoonoses at the human-animal interface in egypt","2017","Pathogens.","PubMed",NA
"Sharifi, I; Aflatoonian, MR; Fekri, AR; Hakimi Parizi, M; Aghaei Afshar, A; Khosravi, A; Sharifi, F; Aflatoonian, B; Khamesipour, A; Dowlati, Y; Modabber, F; Nadim, A","a comprehensive review of cutaneous leishmaniasis in kerman province southeastern iran-narrative review article","2015","IRANIAN JOURNAL OF PUBLIC HEALTH","Web of Science","Background: Cutaneous leishmaniasis (CL) remains a serious public health concern in Kerman Province, eastern Iran. This study was aimed to conduct a comprehensive review and highlights various aspects of CL in the province of Kerman. Methods: This article mainly focuses on the studies published in the past 26 years on CL in the province. Current data for the present status were obtained through the provincial health system. Results: Bam was the most infected district (63.6%), followed by Kerman (24.7%) and other districts to a less extent. Leishmania tropica is the major causative agent (95.5%) of CL in Kerman province, however, L. major accounts for 4.5% of the total cases. Bam, Kerman and southern districts of Kerman province were purely anthroponotic CL (ACL), while Rafsanjan, Baft, and Sirjan showed both ACL and zoonotic CL (ZCL). In contrast, Orzoieh district was merely endemic to ZCL type. Phlebotomus sergenti was the main vector in ACL foci while Ph. papatasi was the major vector in the ZCL district of Orzoieh. Localized CL was the most prevalent form (80%) of the disease, while leishmaniasis recidivans was the most uncommon clinical manifestation (18.7%). Conclusion: Due to recent rises in CL disease both in regard of increases in incidence rate and expansion of the disease to new foci, and presence of various risk factors in the province, control measures and health strategies should have high priorities to help treat the existing cases and prevent the expansion of the disease to new areas."
"Venkat, B; Aggarwal, N; Makhaik, S; Sood, R","a comprehensive review of imaging findings in human cysticercosis","2016","JAPANESE JOURNAL OF RADIOLOGY","Web of Science","Cysticercosis is a zoonotic disease most commonly affecting brain, eye and muscles, causing significant morbidity. Transmitted by faeco-oral route, this disease was endemic in many developing countries; it is now seen worldwide due to globalisation. Manifestations are produced by the mass effect of the parasite and by the immune response mounted by the host on the parasite. There are myriad clinical features and imaging findings. Radiological features depend on the number, stage and location of the parasite and associated complications. Knowledge of radiological findings is necessary to make an accurate diagnosis of this pleomorphic disease."
"Abolnik C.","a current review of avian influenza in pigeons and doves (columbidae)","2014","Vet Microbiol.","PubMed",NA
"McAllister MM.","a decade of discoveries in veterinary protozoology changes our concept of ""subclinical"" toxoplasmosis","2005","Vet Parasitol.","PubMed",NA
"Wong, PMC; Chung, SW","a functional connection between rangtpnf-kappa b and septic shock","2003","JOURNAL OF BIOMEDICAL SCIENCE","Web of Science","RanGTPase is importantly involved in diverse biological functions, such as nuclear transport, spindle formation during mitosis, DNA replication and cell division. This review summarizes yet another new role of Ran - control of the activity of NF-kappaB in host immune responses. Overexpression of a specific allele of Ran results in preferential accumulation of nuclear RanGTP, downmodulation of proinflammatroy cytokine production and protection against septic shock. Nuclear RanGTP interacts with Exportin1, which in turn binds to IkappaB. Nuclear IkappaB binds to NF-kappaB in the nucleus, inhibiting NF-kappaB transcriptional activation of proinflammatory cytokine genes. Nuclear IkB also functions as an adaptor between NF-kappaB and Exportin1/RanGTP, enhancing export of NF-kappaB to the cytoplasm and further reducing the magnitude of host immune responses. From this picture, it appears that modulation of host immune responses via RanGTPase will have an immense impact on a wide spectrum of emerging infectious diseases, cancer and other genetic diseases."
"Collinge, J; Clarke, AR","a general model of prion strains and their pathogenicity","2007","SCIENCE","Web of Science","Prions are lethal mammalian pathogens composed of aggregated conformational isomers of a host-encoded glycoprotein and which appear to lack nucleic acids. Their unique biology, allied with the public-health risks posed by prion zoonoses such as bovine spongiform encephalopathy, has focused much attention on the molecular basis of prion propagation and the ""species barrier"" that controls cross-species transmission. Both are intimately linked to understanding how multiple prion ""strains"" are encoded by a protein-only agent. The underlying mechanisms are clearly of much wider importance, and analogous protein-based inheritance mechanisms are recognized in yeast and fungi. Recent advances suggest that prions themselves are not directly neurotoxic, but rather their propagation involves production of toxic species, which may be uncoupled from infectivity."
"Silva CV, Costa-Cruz JM.","a glance at taenia saginata infection diagnosis vaccine biological control and treatment","2010","Infect Disord Drug Targets.","PubMed",NA
"Jonsson, CB; Figueiredo, LTM; Vapalahti, O","a global perspective on hantavirus ecology epidemiology and disease","2010","CLINICAL MICROBIOLOGY REVIEWS","Web of Science","Hantaviruses are enzootic viruses that maintain persistent infections in their rodent hosts without apparent disease symptoms. The spillover of these viruses to humans can lead to one of two serious illnesses, hantavirus pulmonary syndrome and hemorrhagic fever with renal syndrome. In recent years, there has been an improved understanding of the epidemiology, pathogenesis, and natural history of these viruses following an increase in the number of outbreaks in the Americas. In this review, current concepts regarding the ecology of and disease associated with these serious human pathogens are presented. Priorities for future research suggest an integration of the ecology and evolution of these and other host-virus ecosystems through modeling and hypothesis-driven research with the risk of emergence, host switching/spillover, and disease transmission to humans."
"Laura D. Kramer , Linda M. Styer , Gregory D. Ebel ","a global perspective on the epidemiology of west nile virus","2008","Annual Review of Entomology","Annual Reviews","West Nile virus (WNV) (Flavivirus: Flaviviridae) is the most widespread arbovirus in the world. A significant range expansion occurred beginning in 1999 when the virus was introduced into New York City. This review highlights recent research into WNV epizootiology and epidemiology, including recent advances in understanding of the host-virus interaction at the molecular, organismal, and ecological levels. Vector control strategies, vaccines, and antivirals, which now must be considered on a global scale, are also discussed."
"Cachay ER, Vinetz JM.","a global research agenda for leptospirosis","2005","J Postgrad Med.","PubMed",NA
"Conners, EE; Vinetz, JM; Weeks, JR; Brouwer, KC","a global systematic review of chagas disease prevalence among migrants","2016","ACTA TROPICA","Web of Science","Human migration has been identified as a potential factor for increased Chagas disease risk and has transformed the disease from a Latin American problem to a global one. We conducted a systematic review of the scientific literature between 2004-2014 in order to: summarize recent seroprevalence estimates of Chagas disease among Latin American migrants, in both endemic and non-endemic settings; compare seroprevalence estimates in migrants to countrywide prevalence estimates; and identify risk factors for Chagas disease among migrants. A total of 320 studies were screened and 23 studies were included. We found evidence that the prevalence of Chagas disease is higher than expected in some migrant groups and that reliance on blood donor screening prevalence estimates underestimates the burden of disease. Overall there is a dearth of high quality epidemiologic studies on the prevalence of Chagas disease in migrants, especially among intra-regional migrants within Latin America. Given that this zoonotic disease cannot likely be eradicated, improved surveillance and reporting is vital to continuing control efforts. More accurate health surveillance of both Latin American migrants and the Chagas disease burden will help countries appropriately scale up their response to this chronic disease. Overall, improved estimates of Chagas disease among migrants would likely serve to highlight the real need for better screening, diagnostics, and treatment of individuals living with the disease. (C) 2016 Elsevier B.V. All rights reserved."
"Sherman DM.","a global veterinary medical perspective on the concept of one health: focus on livestock","2010","ILAR J.","PubMed",NA
"Johns, MC; Burke, RL; Vest, KG; Fukuda, M; Pavlin, JA; Shrestha, SK; Schnabel, DC; Tobias, S; Tjaden, JA; Montgomery, JM; Faix, DJ; Duffy, MR; Cooper, MJ; Sanchez, JL; Blazes, DL","a growing global network's role in outbreak response: afhsc-geis 2008-2009","2011","BMC PUBLIC HEALTH","Web of Science","A cornerstone of effective disease surveillance programs comprises the early identification of infectious threats and the subsequent rapid response to prevent further spread. Effectively identifying, tracking and responding to these threats is often difficult and requires international cooperation due to the rapidity with which diseases cross national borders and spread throughout the global community as a result of travel and migration by humans and animals. From Oct. 1, 2008 to Sept. 30, 2009, the United States Department of Defense's (DoD) Armed Forces Health Surveillance Center Global Emerging Infections Surveillance and Response System (AFHSC-GEIS) identified 76 outbreaks in 53 countries. Emerging infectious disease outbreaks were identified by the global network and included a wide spectrum of support activities in collaboration with host country partners, several of which were in direct support of the World Health Organization's (WHO) International Health Regulations (IHR) (2005). The network also supported military forces around the world affected by the novel influenza A/H1N1 pandemic of 2009. With IHR (2005) as the guiding framework for action, the AFHSC-GEIS network of international partners and overseas research laboratories continues to develop into a far-reaching system for identifying, analyzing and responding to emerging disease threats."
"Preece, ND; Abell, SE; Grogan, L; Wayne, A; Skerratt, LF; Van Oosterzee, P; Shima, AL; Peter, D; Field, H; Reiss, A; Berger, L; Rymer, TL; Fisher, DO; Lawes, MJ; Laurance, SG; McCallum, H; Esson, C; Epstein, JH","a guide for ecologists: detecting the role of disease in faunal declines and managing population recovery","2017","BIOLOGICAL CONSERVATION","Web of Science","Biodiversity is declining at an alarming rate, especially among vertebrates. Disease is commonly ignored or dismissed in investigations of wildlife declines, partly because there is often little or no obvious clinical evidence of illness. We argue that disease has the potential to cause many species declines and extinctions and that there is mounting evidence that this is a more important cause of declines than has been appreciated. We summarise case studies of diseases that have affected wildlife to the point of extinction and bring together the experiences of wildlife managers, veterinarians, epidemiologists, infectious disease specialists, zoologists and ecologists to provide an investigation framework to help ecologists and wildlife managers address disease as a factor in wildlife declines. Catastrophic declines of wildlife may be the result of single or multiple synergistic causes, and disease should always be one factor under consideration, unless proven otherwise. In a rapidly changing world where emerging infectious diseases have become increasingly common, the need to consider diseases has never been more important."
"von Messling, Veronika","a henipavirus vaccine in sight","2012","Science","Sociological Collection","The article discusses the development of a vaccine against the henipavirus genus of viruses that consists of the Nipah and Hendra viruses. Topics include the emergence of Nipah and Hendra viruses in Malaysia and Australia, respectively, in the 1990s, their transmission from animals to humans, and a virology study by K. N. Bossart and colleagues that found a soluble form of the Hendra virus glycoprotein can protect monkeys from a potentially lethal infection of the Nipah virus. Also discussed are aspects of human ecology that are facilitating the emergence of previously unknown viruses in developing countries and the importance of developing a veterinary vaccine, such as reducing the spread of Nipah from domestic animals to humans."
"Ding, XZ; Paulsen, IT; Bhattacharjee, AK; Nikolich, MP; Myers, G; Hoover, DL","a high efficiency cloning and expression system for proteomic analysis","2006","PROTEOMICS","Web of Science","The recent description of the complete genomes of the two most pathogenic species of Brucella opens the way for genome-based analysis of the antigenicity of their proteins. In the present report, we describe a bench-level high-efficiency cloning and expression system (HECES) that allow expression of large numbers of Brucella proteins based on genomic sequence information. Purified proteins are produced with high efficiency in a microarray format conducive to analysis of their sero-reactivity against serum from immunized animals. This method is applicable at either small or large scale of protein processing. While it does not require robotics, the format is amenable to robotic implementation for all aspects of the process and subsequent analysis of protein characteristics. This method will allow selection of new reagents for diagnosis of brucellosis and development of vaccine against Brucella, an important zoonotic disease and biothreat agent."
