records,rec,resultID,header,shortDbName,longDbName,uiTerm,controlInfo,bkinfo,btl,isbn,type,sertl,jinfo,jtl,issn,type,pubinfo,dt,year,month,day,vid,iid,place,artinfo,ui,type,ppf,ppct,formats,fmt,type,size,tig,atl,aug,au,affil,sug,subj,type,ab,pubtype,doctype,pages,su,language,code,revinfo,dissinfo,disstl,degree,dissinst,displayInfo,pLink,url
,,138,,slh,Sociological Collection,13222907,,,,,,,,Science,368075,,,5/14/2004,2004,5,14,304,5673,,,,,968,2,,,,,,Public Health Risk from the Avian H5N1 Influenza Epidemic.,,"Ferguson, Neil M.","Department of Infectious Disease Epidemiology, Faculty of Medicine, Imperial College London, St. Mary's campus, Norfolk Place, London W2 1PG, UK.",,AVIAN influenza,unclass,"The ongoing influenza epidemic in Asian bird populations poses risks to public as well as animal health, due to the potential for cross-species transmission to humans and subsequent reassortment of avian and human influenza viruses in coinfected individuals. As the current avian epidemic highlights, the zoonotic origin of pandemic influenza strains means that improved surveillance and control of animal, particularly avian, influenza needs to be a priority—as much to safeguard public health as to promote animal welfare. In the current avian epidemic, by April 2004, a total of 33 cases in humans resulting from the avian epidemic had been reported.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=13222907&site=ehost-live
,,69,,slh,Sociological Collection,18301882,,,,,,,,Science,368075,,,9/9/2005,2005,9,9,309,5741,,,,,1680,2,,,,,,Pathogen Surveillance in Animals.,,"Kuiken, T.","Department of Virology, Erasmus MC, 3015 GE Rotterdam, The Netherlands.",,INFECTION,unclass,"The article reports that emerging infections have an enormous impact on public health, food supply, economies and the environment. Human mortality from recently emerged diseases varies, ranging from less than 100 people thus far for H5N1 avian influenza to about 20 million for AIDS. Currently, pathogen surveillance in animals is usually the responsibility of government departments of agriculture. Its quality varies greatly among countries and typically does not include wildlife. Internationally, a list of pathogens that affect international trade, including many important zoonoses, are reported to the World Organization for Animal Health by its member countries. In November 2002, SARS first appeared in humans in southern China. The causative agent, a previously unknown coronavirus, was probably initially transmitted to humans by captive wild animals being sold as food. In February 2003, an outbreak of highly pathogenic avian influenza, subtype H7N7, occurred in poultry in the Netherlands and spread to Belgium and Germany.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=18301882&site=ehost-live
,,86,,slh,Sociological Collection,18800052,,,,,,,,Science,368075,,,10/28/2005,2005,10,28,310,5748,,,,,628,2,,,,,,What Links Bats to Emerging Infectious Diseases?,,"Dobson, Andrew P.","Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ 08544-1003, USA.",,MALAYSIA,geo,"This article informs that three species of horseshoe bats have now been officially recorded as the natural reservoir host of the coronavirus that causes severe acute respiratory syndrome. A key step in determining the threat imposed by new pathogens is identifying the route along which they are transmitted from their reservoir to new hosts such as domestic livestock or humans. In the case of pathogens that use bats as reservoirs, a common route seems likely. Bats' feeding habits are constrained by the aerodynamics of flight, so they can not ingest huge amounts of food. Yet many bats are frugivorous, that is, they meet their energy requirements by ingesting fruits. The animal pens of the pig farms where the Nipah virus outbreak in Malaysia was first reported were littered with partially digested fruits that were regurgitated from bats. Similar observations were reported at the site of the Hendra virus outbreak in Queensland, Australia. In Bangladesh, the Nipah virus has been shown to be transmitted directly from bats to humans. There, during the fruiting season, young boys climb trees to pick fruit.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=18800052&site=ehost-live
,,125,,slh,Sociological Collection,18704103,,,,,,,,Science,368075,,,10/21/2005,2005,10,21,310,5747,,,,,493,4,,,,,,Reciprocal Interface Between Specific CJD and Scrapie Agents in Neural Cell Cultures.,,"Nishida, Noriuki","Yale Medical School, New Haven, CT 06510, USA.",,CELL culture,unclass,"Infection of mice with an attenuated Creutzfeldt-Jakob disease agent (SY-CJD) interferes with superinfection by a more virulent human-derived CJD agent (FU-CJD) and does not require pathological prion protein (PrPres). Using a rapid coculture system, we found that a neural cell line free of immune system cells similarly supported substantial CJD agent interference without PrPres. In addition, SY-CJD prevented superinfection by sheep-derived Chandler (Ch) and 22L scrapie agents. However, only 22L and not Ch prevented FU-CJD infection, even though both scrapie strains provoked abundant PrPres. This relationship between particular strains of sheep- and human-derived agents is likely to affect their prevalence and epidemic spread.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=18704103&site=ehost-live
,,136,,slh,Sociological Collection,18704084,,,,,,,,Science,368075,,,10/21/2005,2005,10,21,310,5747,,,,,444,2,,,,,,Escaping an Epidemic.,,"Anderson, Larry J.","The reviewer is in the Respiratory and Enteric Viruses Branch, National Center for Infectious Diseases, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA.",,SARS: A Case Study in Emerging Infections (Book),unclass,"Reviews two books on SARS disease. ""SARS: A Case Study in Emerging Infections,"" edited by Angela R. McLean, Robert M. May, John Pattison, and Robin A. Weiss; ""Twenty-First Century Plague: The Story of SARS,"" by Thomas Abraham.",Review,Book Review,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=18704084&site=ehost-live
,,137,,slh,Sociological Collection,17618992,,,,,,,,Science,368075,,,6/24/2005,2005,6,24,308,5730,,,,,1867,2,,,,,,Issues in Biosecurity and Biosafety.,,"Cook-Deegan, Robert M.","Duke University, Durham, NC 27708, USA.",,BIOTECHNOLOGY -- Research,unclass,"This article presents information on a 2004 Report titled ""Biotechnology Research in an Age of Terrorism,"" which recommended that Institutional Biosafety Committees (IBCs) review research for biosecurity and dual use potential, to prevent nefarious applications such as bioterrorism or biowarfare. To discuss this recommendation, the authors convened a group of IBC chairs, scientists, and administrative staff from our six universities on May 11. The authors hope that the fruits of their deliberation will be considered by the National Scientific Advisory Board on Biosecurity, which will meet for the first time on June 30. Many scientists believe publication was appropriate, but it is far from clear that the case for open science has been made successfully with the general public, law enforcement officials, or elected officials. They are concerned that IBCs today might face a situation similar to resource-starved Institutional Review Boards (IRBs) in the late 1990s. IRBs received attention only after human research was conspicuously shut down at major research institutions. IBCs will need resources, training, and guidance to ensure that resources devoted to research on biodefense and emerging infections are used effectively, and that public trust and accountability are preserved.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=17618992&site=ehost-live
,,142,,slh,Sociological Collection,16695349,,,,,,,,Science,368075,,,4/1/2005,2005,4,1,308,5718,,,,,49,0,,,,,,NIH Response to Open Letter.,,"Fauci, Anthony S.","Director, National Institute of Allergy and Infectious Diseases",,PATHOGENIC microorganisms,unclass,"The article presents information on a scientific open letter from scientists in the microbiology community. The letter argues that biodefense research efforts have diverted resources from nonbiodefense research at National Institute of Health (NIH). The letter focuses only on support for research on the agents that cause tularemia, anthrax, plague, glanders, melioidosis, and brucellosis. NIAID biodefense funding is used to support research on a much broader list of more than 50 pathogens, which include traditional biodefense pathogens, such as those that cause anthrax and smallpox, as well as newly emerging infectious agents such as the SARS coronavirus and pathogens that cause diseases that affect people around the world on a daily basis.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=16695349&site=ehost-live
,,15,,slh,Sociological Collection,19540799,,,,,,,,Mortality,13576275,,,Feb-06,2006,2,1,11,1,,,10.1080/13576270500453580,doi,45,12,,,PDF,83KB,,"Lazarus [ 1], liminality, and animality: Xenotransplantation, zoonosis, and the space and place of humans and animals in late modern society.",,"Murray, Mary","Massey University, Palmerston North, New Zealand",,XENOGRAFTS,unclass,"This paper is about the fear of zoonosis (transmission of disease from animals to humans) surrounding xenotransplantation that involves animal to human organ transplantation. While not wanting to minimize the very real threat to human health that cross-species organ transplantation could pose, these fears will be read as symbolic statements that may reveal anxieties about our perception of human nature and the spatialized ways in which we have constructed relationships between ourselves and other animals. This theme is addressed by considering the symbolism associated with transplantation and xenotransplantation and fears of pollution and disease. It is argued that the perceived transgression of boundaries implied in animal to human organ transplantation and that fears about zoonosis may activate anxieties of “the beast within,” an anxiety that may speak of our uncertain and uneasy conquest of culture over nature.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=19540799&site=ehost-live
,,47,,slh,Sociological Collection,21806791,,,,,,,,European Journal of Development Research,9578811,,,Jun-06,2006,6,1,18,2,,,10.1080/09578810600708247,doi,235,19,,,PDF,134KB,,Conceptualising The Links Between Hiv/aids And Pastoralist Livelihoods.,,"Morton, John",A1,,PASTORAL societies,unclass,"While understanding of the links between HIV/AIDS and agriculture-based livelihoods is increasing, there has been very little research on the links between HIV/AIDS and pastoralism, despite the fact that pastoralists represent a large group of the poor and vulnerable in many countries long affected by HIV/AIDS. This article identifies key linkages as priorities for further research, by combining an understanding of both the core common features and the diversity of pastoralist livelihoods with conceptual frameworks from the literature on HIV/AIDS and agriculture: particularly the concepts of susceptibility and resistance (to HIV infection) and vulnerability and resilience (to the socio-economic impacts of AIDS). Features of pastoral livelihoods discussed include: mobility, for grazing, marketing and non-pastoral labour; food insecurity and vulnerability to adverse policy, ‘natural’ and ‘man-made’ disasters; isolation from health services; exposure to zoonotic diseases; labour patterns including traditional institutions to match labour to livestock; reliance on collective action; labour intensive and risky marketing chains. Alors que la compréhension du rapport entre le VIH/SIDA et les moyens d'existence reposant sur l'agriculture s'améliore, il existe peu de recherches sur les liens entre le VIH/SIDA et les systèmes pastoraux, bien que les éleveurs représentent un groupe important de personnes pauvres et vulnérables, aux pays affectés de longue date par le VIH/SIDA. Cet article identifie des relations clés considérées comme prioritaires pour des recherches ultérieures, en combinant une compréhension à la fois des caractéristiques communes essentielles et de la diversité des moyens d'existence des éleveurs. Il utilise des concepts provenant de la littérature sur le VIH/SIDA et sur l'agriculture: notamment les concepts de prédisposition (susceptibility) et de résistance (à l'infection), de vulnérabilité et de resilience (aux effets socio-économiques du SIDA).",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=21806791&site=ehost-live
,,53,,slh,Sociological Collection,20311698,,,,,,,,Science,368075,,,3/17/2006,2006,3,17,311,5767,,,,,1523,0,,,,,,The Best Laid Plans.,,C.A.,,,CENTAUREA,unclass,"The article focuses on a study according to which the invasive weed Centaurea maculosa has become widespread in North America. Gall flies have been introduced in an attempt at biological control of the plant. The gall flies lay their eggs in the flower heads, where the larvae induce the formation of galls in which they overwinter. Although the flies have successfully dispersed throughout populations of the invasive weed, they have not proved to be effective control agents, and the weed continues to spread, particularly in areas disturbed by human activity. Researchers have discovered that therein lies a deeper threat. The fly grubs have proved to be an attractive food source for Peromyscus mice and bolster mouse populations during otherwise lean winter months. This genus of mice are reservoir hosts for the human pathogenic hantavirus, Sin Nombre, and, worryingly, the authors found that the abundance of hantavirus-seropositive mice is elevated in zones of high abundance of weed and flies. Deer mice also act as reservoir hosts for Lyme disease and potentially for plague and other zoonotic pathogens.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=20311698&site=ehost-live
,,56,,ecn,EconLit,899203,,,"Smart Growth and Climate Change: Regional Development, Infrastructure and Adaptation",184542509X,print,,,,,,,20060101,2006,1,1,,,"Cheltenham, U.K. and Northampton, Mass.",,,,,22,,,,,,Climate Change and Public Health: Focusing on Emerging Infectious Diseases,,"Epstein, Paul R.",,,,,,Collective Volume Article,,342-363,Health Behavior,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=0899203&site=ehost-live
,,70,,ecn,EconLit,901311,,,,,,,,Canadian Public Policy,3170861,print,,20061201,2006,12,1,32,4,,,,,,13,,,,,,The Social and Political Context of Disease Outbreaks: The Case of SARS in Toronto,,"Salehi, Roxana",,,,,"We adopt a political ecology framework to delineate a critical and systemic model that explains how an emerging infectious disease (EID), such as SARS, is dealt with in our globalized world. It is our hope that such a model will contribute to the development of more realistic risk-management policies. First, we focus on identifying and analyzing particular social and human-environment interactions that facilitated the spread of SARS within a local Toronto context. Second, we describe how the SARS outbreak brought to light the deeply rooted inadequacies involved in the current system of global health governance. We stress that in our globalized world it is unwise to focus too narrowly on the local context. The analysis of disease outbreaks must adopt a global perspective that considers the political ecological nature of the relationships between the developed and developing world.",Journal Article,,373-385,Health Behavior,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=0901311&site=ehost-live
,,75,,ecn,EconLit,872618,,,,,,,,World Bank Economic Review,2586770,print,,20060101,2006,1,1,20,2,,,,,,30,,,,,,"Aid and the Supply Side: Public Investment, Export Performance, and Dutch Disease in Low-Income Countries",,"Adam, Christopher S.",,,,,"Contemporary policy debates on the macroeconomics of aid often concentrate on short-run Dutch disease effects, ignoring the possible supply-side impact of aid-financed public expenditure. In the simple model of aid and public expenditure presented here, public infrastructure generates an intertemporal productivity spillover, which may exhibit a sector-specific bias. The model also provides for a learning-by-doing externality, through which total factor productivity in the tradable sector is an increasing function of past export volumes. An extended computable version of this model is used to simulate the effect of a step increase in net aid flows. The simulations show that beyond the short run, when conventional demand-side Dutch disease effects are present, the relationship between enhanced aid flows and real exchange rates, output growth, and welfare is less straightforward than simple models of aid suggest. Public infrastructure investment that generates a productivity bias in favor of nontradable production delivers the largest aggregate return to aid, but at the cost of a deterioration in the income distribution. Income gains accrue predominantly to skilled and unskilled urban households, leaving the rural poor relatively worse off. Under plausible parameterizations of the model, the rural poor may also be worse off in absolute terms.",Journal Article,,261-290,Investment; Capital; Intangible Capital; Capacity,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=0872618&site=ehost-live
